"weaponName","tierLevel","statBehavior","statValidation","statParams","goal","description","name"
"SAID01870377113",0,"DownCount","1","IsAds:true;WithAttachmentType:sight",25,"#MASTERY_TRIAL_VINSON_0_DESC","#MASTERY_TRIAL_VINSON_0_NAME"
"SAID01870377113",1,"DownCount","1","IsSemiAuto:true;DistanceExceeds:50",20,"#MASTERY_TRIAL_VINSON_1_DESC","#MASTERY_TRIAL_VINSON_1_NAME"
"SAID01870377113",2,"DownCountAfterDamage","1","IsAds:false;Damage@IsAds:true",15,"#MASTERY_TRIAL_VINSON_2_DESC","#MASTERY_TRIAL_VINSON_2_NAME"
"SAID01870377113",3,"DownCount","1","WithinGotRevived:15",15,"#MASTERY_TRIAL_VINSON_3_DESC","#MASTERY_TRIAL_VINSON_3_NAME"
"SAID01870377113",4,"BreakShieldCount","10","MatchIncreaseOnce",10,"#MASTERY_TRIAL_VINSON_4_DESC","#MASTERY_TRIAL_VINSON_4_NAME"
"SAID00048783537",0,"DownCount","1","IsAds:true;DistanceExceeds:50",20,"#MASTERY_TRIAL_RSPN101_0_DESC","#MASTERY_TRIAL_RSPN101_0_NAME"
"SAID00048783537",1,"KillCountWithDownCondition","1","TargetOutsideSafezone:true",15,"#MASTERY_TRIAL_RSPN101_1_DESC","#MASTERY_TRIAL_RSPN101_1_NAME"
"SAID00048783537",2,"DamageStatistic","1000","MatchIncreaseOnce",10,"#MASTERY_TRIAL_RSPN101_2_DESC","#MASTERY_TRIAL_RSPN101_2_NAME"
"SAID00048783537",3,"KillCountWithDownCondition","3","WithAttachmentType:all,hopup|mp_weapon_rspn101;MatchIncreaseOnce",5,"#MASTERY_TRIAL_RSPN101_3_DESC","#MASTERY_TRIAL_RSPN101_3_NAME"
"SAID00048783537",4,"DoubleKill","","ReloadTactical:1|true",3,"#MASTERY_TRIAL_RSPN101_4_DESC","#MASTERY_TRIAL_RSPN101_4_NAME"
"SAID01820095990",0,"DownCount","1","ReturnFire:5",20,"#MASTERY_TRIAL_ENERGY_AR_0_DESC","#MASTERY_TRIAL_ENERGY_AR_0_NAME"
"SAID01820095990",1,"DownCount","1","TargetEvent:restore_shield_start|5",15,"#MASTERY_TRIAL_ENERGY_AR_1_DESC","#MASTERY_TRIAL_ENERGY_AR_1_NAME"
"SAID01820095990",2,"RevivePairKill","1","TargetRevivePair:8",10,"#MASTERY_TRIAL_ENERGY_AR_2_DESC","#MASTERY_TRIAL_ENERGY_AR_2_NAME"
"SAID01820095990",3,"KillCountWithDownCondition","5","WithExactAttachment:hopup|hopup_turbocharger;MatchIncreaseOnce",10,"#MASTERY_TRIAL_ENERGY_AR_3_DESC","#MASTERY_TRIAL_ENERGY_AR_3_NAME"
"SAID01820095990",4,"DownCount","1","TargetInteractEvent:stick_with_arc_star|5",5,"#MASTERY_TRIAL_ENERGY_AR_4_DESC","#MASTERY_TRIAL_ENERGY_AR_4_NAME"
"SAID01082669812",0,"DownCount","1","IsAds:true;IsSemiAuto:true",20,"#MASTERY_TRIAL_HEMLOK_0_DESC","#MASTERY_TRIAL_HEMLOK_0_NAME"
"SAID01082669812",1,"FinishOff","1","AttackerSameAsKiller:5",15,"#MASTERY_TRIAL_HEMLOK_1_DESC","#MASTERY_TRIAL_HEMLOK_1_NAME"
"SAID01082669812",2,"FireAndHit","BurstEnd","IsSemiAuto:false;Damage:1;Damage@IsHeadshot:true;HitFromStart",10,"#MASTERY_TRIAL_HEMLOK_2_DESC","#MASTERY_TRIAL_HEMLOK_2_NAME"
"SAID01082669812",3,"FireAndHit","Immediate","IsSemiAuto:false;Down:1|true;Damage:1|true;IsAds:true",5,"#MASTERY_TRIAL_HEMLOK_3_DESC","#MASTERY_TRIAL_HEMLOK_3_NAME"
"SAID01082669812",4,"DoubleKill","","DistanceExceeds:50",3,"#MASTERY_TRIAL_HEMLOK_4_DESC","#MASTERY_TRIAL_HEMLOK_4_NAME"
