"levelIndex","temp","xpPerLevel","reward","rewardQty","premium","notes","notes2"
0,"1",10,"settings/itemflav/loadscreen/s18bp_resdopa_01.rpak",1,false,"",""
0,"1",0,"settings/itemflav/xp_boost/battlepass_season18.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/valkyrie/epicp_v23_resdopa.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/octane/epicp_v23_resdopa.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/caustic/epicp_v23_resdopa.rpak",1,true,"",""
0,"1",0,"settings/itemflav/weapon_skin/lstar/lgnd_v23_resdopa.rpak",1,true,"",""
1,"2",10,"settings/itemflav/skydive_emote/valkyrie/epic_v23_resdopa_backflip.rpak",1,true,"",""
2,"3",10,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
3,"4",10,"settings/itemflav/musicpack/s18bp_resdopa.rpak",1,false,"",""
3,"4",0,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
4,"5",10,"settings/itemflav/grx_currency/premium.rpak",100,false,"",""
4,"5",0,"settings/itemflav/pack/cosmetic_legendary.rpak",1,true,"",""
5,"6",10,"settings/itemflav/weapon_charm/charm_apex_asset_v23_misc_resdopa01.rpak",1,false,"",""
5,"6",0,"settings/itemflav/xp_boost/battlepass_season18.rpak",1,true,"",""
6,"7",10,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,"",""
6,"7",0,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,"",""
7,"8",10,"settings/itemflav/gcard_tracker/revenant/s18bp_resdopa_wins.rpak",1,false,"",""
7,"8",0,"settings/itemflav/weapon_skin/kraber/rare_v23_resdopa.rpak",1,true,"",""
8,"9",10,"settings/itemflav/gcard_tracker/revenant/s18bp_resdopa_kills.rpak",1,false,"",""
8,"9",0,"settings/itemflav/gcard_frame/seer/epic_v23_resdopa01.rpak",1,true,"",""
9,"10",10,"settings/itemflav/weapon_skin/semipistol/rare_v23_resdopa.rpak",1,false,"",""
9,"10",0,"settings/itemflav/character_emote/crypto/epic_v23_resdopa_taunt.rpak",1,true,"",""
10,"11",10,"settings/itemflav/loadscreen/s18bp_resdopa_02.rpak",1,false,"",""
10,"11",0,"settings/itemflav/character_kill_quip/madmaggie/s18bp_rare_01.rpak",1,true,"",""
11,"12",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
12,"13",10,"settings/itemflav/weapon_skin/3030repeater/rare_v23_resdopa.rpak",1,false,"",""
12,"13",0,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
13,"14",10,"settings/itemflav/xp_boost/battlepass_season18.rpak",1,true,"",""
14,"15",10,"settings/itemflav/gcard_tracker/wattson/s18bp_resdopa_wins.rpak",1,false,"",""
14,"15",0,"settings/itemflav/gcard_tracker/madmaggie/s18bp_resdopa_career_kills.rpak",1,true,"",""
15,"16",10,"settings/itemflav/gcard_tracker/wattson/s18bp_resdopa_kills.rpak",1,false,"",""
15,"16",0,"settings/itemflav/gcard_tracker/madmaggie/s18bp_resdopa_career_wins.rpak",1,true,"",""
16,"17",10,"settings/itemflav/weapon_skin/nemesis/rare_v23_resdopa.rpak",1,false,"",""
16,"17",0,"settings/itemflav/gcard_tracker/madmaggie/s18bp_resdopa_career_damage_done.rpak",1,true,"",""
17,"18",10,"settings/itemflav/gcard_tracker/ballistic/s18bp_resdopa_wins.rpak",1,false,"",""
17,"18",0,"settings/itemflav/gcard_frame/madmaggie/epic_v23_resdopa01.rpak",1,true,"",""
18,"19",10,"settings/itemflav/gcard_tracker/ballistic/s18bp_resdopa_kills.rpak",1,false,"",""
18,"19",0,"settings/itemflav/emote_icon/madmaggie_resdopa/epic_v23_madmaggie_resdopa_01.rpak",1,true,"",""
19,"20",10,"settings/itemflav/weapon_skin/chargerifle/rare_v23_resdopa.rpak",1,true,"",""
20,"21",10,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,"",""
20,"21",0,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
21,"22",10,"settings/itemflav/xp_boost/battlepass_season18.rpak",1,true,"",""
22,"23",10,"settings/itemflav/gcard_tracker/madmaggie/s18bp_resdopa_wins.rpak",1,false,"",""
22,"23",0,"settings/itemflav/weapon_charm/charm_apex_asset_v23_misc_resdopa02.rpak",1,true,"",""
