"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","SAID00837466163","","","",""
"MUSICTRACK","SQ_S16_LoreText_Ch01_Music_01","","","",""
"AMBIENTTRACK","SQ_S16_LoreText_Ch01_AMB_Bar","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch01_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_01","","","",""
"SUBTITLE","#S16_MISSION_PAGE_TITLE_01","","","",""
"","","","","",""
"","","","","",""
"c","","narrator","","#S16_MISSION_01_01",""
"","","","","",""
"c","","narrator","","#S16_MISSION_01_02",""
"","","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch01_VO_01","","","",""
"t","","mirage","happy","#S16_MISSION_01_03","r"
"b","","gibraltar","neutral","#S16_MISSION_01_04","l"
"","","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch01_SFX_DrinkPouring","","","",""
"t","","mirage","neutral","#S16_MISSION_01_05","r"
"","","","","",""
"t","","mirage","fearful","#S16_MISSION_01_06","r"
"","","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch01_VO_02","","","",""
"t","","gibraltar","sad","#S16_MISSION_01_07","r"
"b","","mirage","surprised","#S16_MISSION_01_08","l"
"PLAYSOUND","SQ_S16_LoreText_Ch01_VO_03 BOTTOM","","","",""
"","","","","",""
"t","","mirage","neutral","#S16_MISSION_01_09","r"
"","","","","",""
"t","","gibraltar","neutral","#S16_MISSION_01_10","r"
"b","","mirage","happy","#S16_MISSION_01_11","l"
"","","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch01_VO_04","","","",""
"t","","mirage","neutral","#S16_MISSION_01_12","r"
"","","","","",""
"t","","mirage","sad","#S16_MISSION_01_13","r"
"","","","","",""
"t","","mirage","neutral","#S16_MISSION_01_14","r"
"","","","","",""
"t","","gibraltar","sad","#S16_MISSION_01_15","r"
"b","","mirage","neutral","#S16_MISSION_01_16","l"
"","","","","",""
"t","","gibraltar","sad","#S16_MISSION_01_17","r"
"b","","mirage","fearful","#S16_MISSION_01_18","l"
"PLAYSOUND","SQ_S16_LoreText_Ch01_VO_05 BOTTOM","","","",""
"","","","","",""
"t","","gibraltar","surprised","#S16_MISSION_01_19","r"
"","","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch01_VO_06","","","",""
"t","","gibraltar","angry","#S16_MISSION_01_19_2","r"
"","","","","",""
"t","","gibraltar","sad","#S16_MISSION_01_20","r"
"","","","","",""
"t","","gibraltar","neutral","#S16_MISSION_01_21","r"
"b","","mirage","neutral","#S16_MISSION_01_22","l"
"","","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch01_VO_08","","","",""
"t","","mirage","neutral","#S16_MISSION_01_23","r"
