"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","SAID00380882814","","","",""
"MUSICTRACK","SQ_S16_LoreText_Ch02_Music_01","","","",""
"AMBIENTTRACK","SQ_S16_LoreText_Ch02_AMB_Zoo","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch02_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_02","","","",""
"SUBTITLE","#S16_MISSION_PAGE_TITLE_02","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"c","","narrator","","#S16_MISSION_02_01",""
"","","","","",""
"c","","narrator","","#S16_MISSION_02_02",""
"","","","","",""
"c","","narrator","","#S16_MISSION_02_03",""
"","","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch02_VO_01","","","",""
"t","","vantage","happy","#S16_MISSION_02_04","r"
"b","","echo","happy","#S16_MISSION_02_05","l"
"PLAYSOUND","SQ_S16_LoreText_Ch02_VO_02 BOTTOM","","","",""
"","","","","",""
"c","","narrator","","#S16_MISSION_02_06",""
"","","","","",""
"","","","","",""
"c","","narrator","","#S16_MISSION_02_07",""
"","","","","",""
"c","","narrator","","#S16_MISSION_02_08",""
"","","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch02_SFX_EchoCatchesAndEatsPopcorn","","","",""
"c","","narrator","","#S16_MISSION_02_09",""
"","","","","",""
"t","","vantage","neutral","#S16_MISSION_02_10","r"
"b","","person","surprised","#S16_MISSION_02_11","l"
"","","","","",""
"t","","vantage","neutral","#S16_MISSION_02_12","r"
"b","","person","angry","#S16_MISSION_02_13","l"
"","","","","",""
"t","","vantage","neutral","#S16_MISSION_02_14","r"
"b","","person","angry","#S16_MISSION_02_15","l"
"","","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch02_VO_03","","","",""
"t","","vantage","happy","#S16_MISSION_02_16","r"
"","","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch02_VO_04","","","",""
"t","","vantage","sad","#S16_MISSION_02_17","r"
"","","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch02_VO_05","","","",""
"t","","vantage","angry","#S16_MISSION_02_18","r"
"b","","person","fearful","#S16_MISSION_02_19","l"
"","","","","",""
"t","","vantage","angry","#S16_MISSION_02_20","r"
"","","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch02_SFX_VantageThrowsPopcorn_2","","","",""
"c","","narrator","","#S16_MISSION_02_21",""
"","","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch02_Stinger_01","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch02_VO_06","","","",""
"t","","vantage","surprised","#S16_MISSION_02_22","r"
"","","","","",""
