"cmd","args","speaker","emotion","text","direction"
"","","","","",""
"","","","","",""
"// Lines that start with two forward slashes, like this one, are comments, and ignored by the system.","","","","",""
"// Pages are broken up by blank lines. Multiple blank lines in a row are ok.","","","","",""
"// Most pages just specify lines of dialog in any of 3 slots. TOP, CENTER, and BOTTOM lines. (Or T, C, and B for short.)","","","","",""
"// Some pages specify special commands, like changing the background, music, or displaying titles.","","","","",""
"// Look direction is defined by l (left) and r (right). This means characters can look either direction, despite being in the top or bottom","","","","",""
"","","","","",""
"BACKGROUND","SAID00863926094","","","",""
"MUSICTRACK","SQ_S16_LoreText_Ch03_Music_01","","","",""
"AMBIENTTRACK","SQ_S16_LoreText_Ch03_AMB_OlympusRiftDome_Battle","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch03_ChapterTitle","","","",""
"TITLE","#MISSION_PAGE_03","","","",""
"SUBTITLE","#S16_MISSION_PAGE_TITLE_03","","","",""
"","","","","",""
"","","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch03_VO_01","","","",""
"t","","pathfinder","happy","#S16_MISSION_03_01","r"
"","","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch03_SFX_PathfinderGrapplesThroughGunfire","","","",""
"c","","narrator","","#S16_MISSION_03_02",""
"","","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch03_VO_02","","","",""
"t","","pathfinder","neutral","#S16_MISSION_03_03","r"
"","","","","",""
"MUSICTRACK","SQ_S16_LoreText_Ch03_Music_02","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch03_SFX_AshGetsEMPed","","","",""
"AMBIENTTRACK","SQ_S16_LoreText_Ch03_AMB_AshBlackout","","","",""
"c","","narrator","","#S16_MISSION_03_04",""
"","","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch03_SFX_AshBootUp_1","","","",""
"AMBIENTTRACK","SQ_S16_LoreText_Ch03_AMB_DrReidsLab","","","",""
"c","","narrator","","#S16_MISSION_03_05",""
"BACKGROUND","SAID00863926094","","","",""
"","","","","",""
"BACKGROUND","SAID01224655687","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch03_VO_03","","","",""
"t","","drreid","angry","#S16_MISSION_03_06","r"
"","","","","",""
"","","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch03_SFX_NewtonWalksToTheDoor","","","",""
"c","","narrator","","#S16_MISSION_03_07",""
"","","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch03_Stinger_05","","","",""
"t","","newton","neutral","#S16_MISSION_03_08","r"
"","","","","",""
"c","","narrator","","#S16_MISSION_03_09",""
"","","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch03_VO_04","","","",""
"t","","drreid","neutral","#S16_MISSION_03_10","r"
"","","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch03_SFX_NewtonEnters","","","",""
"c","","narrator","","#S16_MISSION_03_11",""
"","","","","",""
"t","","drreid","neutral","#S16_MISSION_03_12","r"
"b","","newton","neutral","#S16_MISSION_03_13","l"
"","","","","",""
"MUSICTRACK","SQ_S16_LoreText_Ch03_Music_03","","","",""
"PLAYSOUND","SQ_S16_LoreText_Ch03_VO_05","","","",""
