"event","notes","menuText","shortText","chatText","attachmentPoints","aliasSubname","hasCalm","hasCalmFar","hasUrgent","hasUrgentFar","subEvent","flavorEvent","defaultIcon","pingAsset","hasForcedTempVoice"
"BLANK","","","","","","",false,false,false,false,"","","","",false
"PING_WEAPON_KRABER","","","","#PING_LOOT","","ping_foundKraber",true,false,true,false,"","FLAVOR_WEAPON_KRABER","","",false
"PING_WEAPON_MASTIFF","","","","#PING_LOOT","","ping_foundMastiff",true,false,true,false,"","FLAVOR_WEAPON_MASTIFF","","",false
"PING_WEAPON_LSTAR","","","","#PING_LOOT","","ping_foundLstar",true,false,true,false,"","FLAVOR_WEAPON_LSTAR","","",false
"PING_WEAPON_ENERGY_AR","! [jnel] hooked up Havoc instead of enery ar / energy weapon.","","","#PING_LOOT","","ping_foundHavoc",true,false,true,false,"","FLAVOR_WEAPON_ENERGY_AR","","",false
"PING_WEAPON_DEVOTION","","","","#PING_LOOT","","ping_foundDevotion",true,false,true,false,"","FLAVOR_WEAPON_DEVOTION","","",false
"PING_WEAPON_TRIPLETAKE","","","","#PING_LOOT","","ping_foundTripletake",true,false,true,false,"","FLAVOR_WEAPON_TRIPLETAKE","","",false
"PING_WEAPON_FLATLINE","","","","#PING_LOOT","","ping_foundFlatline",true,false,true,false,"","FLAVOR_WEAPON_FLATLINE","","",false
"PING_WEAPON_HEMLOK","","","","#PING_LOOT","","ping_foundHemlok",true,false,true,false,"","FLAVOR_WEAPON_HEMLOK","","",false
"PING_WEAPON_G7","","","","#PING_LOOT","","ping_foundG7",true,false,true,false,"","FLAVOR_WEAPON_G7","","",false
"PING_WEAPON_ALTERNATOR","","","","#PING_LOOT","","ping_foundAlternator",true,false,true,false,"","FLAVOR_WEAPON_ALTERNATOR","","",false
"PING_WEAPON_R97","! [jnel] this is still r97, but should we hook it to r99?","","","#PING_LOOT","","ping_foundR99",true,false,true,false,"","FLAVOR_WEAPON_R97","","",false
"PING_WEAPON_PROWLER","","","","#PING_LOOT","","ping_foundprowler",true,false,true,false,"","FLAVOR_WEAPON_PROWLER","","",false
"PING_WEAPON_DMR","","","","#PING_LOOT","","ping_foundDmr",true,false,true,false,"","FLAVOR_WEAPON_DMR","","",false
"PING_WEAPON_SPITFIRE","","","","#PING_LOOT","","ping_foundSpitfire",true,false,true,false,"","FLAVOR_WEAPON_SPITFIRE","","",false
"PING_WEAPON_R201","! [jnel] hooked the r301 to this event. Event string is r201.","","","#PING_LOOT","","ping_foundR301",true,false,true,false,"","FLAVOR_WEAPON_R201","","",false
"PING_WEAPON_EVA","","","","#PING_LOOT","","ping_foundEva",true,false,true,false,"","FLAVOR_WEAPON_EVA","","",false
"PING_WEAPON_PEACEKEEPER","","","","#PING_LOOT","","ping_foundpeacekeeper",true,false,true,false,"","FLAVOR_WEAPON_PEACEKEEPER","","",false
"PING_WEAPON_MOZAMBIQUE","","","","#PING_LOOT","","ping_foundMozambique",true,false,true,false,"","FLAVOR_WEAPON_MOZAMBIQUE","","",false
"PING_WEAPON_WINGMAN","","","","#PING_LOOT","","ping_foundWingman",true,false,true,false,"","FLAVOR_WEAPON_WINGMAN","","",false
"PING_WEAPON_SEMIPISTOL","","","","#PING_LOOT","","ping_foundP2020",true,false,true,false,"","FLAVOR_WEAPON_SEMIPISTOL","","",false
"PING_WEAPON_AUTOPISTOL","","","","#PING_LOOT","","ping_foundRE45",true,false,true,false,"","FLAVOR_WEAPON_AUTOPISTOL","","",false
"PING_WEAPON_VOLT_SMG","","","","#PING_LOOT","","ping_foundVoltSmg",true,false,true,false,"","","","",false
"PING_WEAPON_DEFENDER","","","","#PING_LOOT","","ping_foundChargeRifle",true,false,true,false,"","FLAVOR_WEAPON_DEFENDER","","",false
"PING_WEAPON_SENTINEL","","","","#PING_LOOT","","ping_foundSentinel",true,false,true,false,"","FLAVOR_WEAPON_SENTINEL","","",false
"PING_WEAPON_BOW","","","","#PING_LOOT","","ping_foundBocek",true,false,true,false,"","FLAVOR_WEAPON_BOCEK","","",false
"PING_WEAPON_DRAGON","","","","#PING_LOOT","","ping_foundRampage",true,false,true,false,"","FLAVOR_WEAPON_DRAGON","","",false
"PING_WEAPON_CAR","","","","#PING_LOOT","","ping_foundCarsmg",true,false,true,false,"","FLAVOR_WEAPON_CAR","","",false
"PING_WEAPON_NEMESIS","","","","#PING_LOOT","","ping_foundNemesis",true,false,true,false,"","FLAVOR_WEAPON_NEMESIS","","",false
"PING_WEAPON_THROWINGKNIFE","","","","#PING_LOOT","","ping_foundThrowingKnife",true,false,true,false,"","FLAVOR_WEAPON_THROWINGKNIFE","","",false
"PING_OFFHAND_GRENADE_FIRESTAR","! [jnel] hooked up foundThermite. Event string is still firestar.","","","#PING_LOOT","","ping_foundThermite",true,false,true,false,"","FLAVOR_OFFHAND_GRENADE_FIRESTAR","","",false
"PING_OFFHAND_GRENADE_FRAG","","","","#PING_LOOT","","ping_foundFrag",true,false,true,false,"","FLAVOR_OFFHAND_GRENADE_FRAG","","",false
"PING_OFFHAND_GRENADE_ARC","! [jnel] hooked up foundArcStar. Event string is still grenade_arc.","","","#PING_LOOT","","ping_foundArcStar",true,false,true,false,"","FLAVOR_OFFHAND_GRENADE_ARC","","",false
"PING_AMMO_BULLET","! [jnel] hooked up foundAmmoLight","","","#PING_LOOT_QTY","","ping_foundAmmoLight",true,false,true,false,"","","","",false
"PING_AMMO_SPECIAL","","","","#PING_LOOT_QTY","","ping_foundAmmoEnergy",true,false,true,false,"","FLAVOR_AMMO_SPECIAL","","",false
"PING_AMMO_SHOTGUN","","","","#PING_LOOT_QTY","","ping_foundAmmoShotgun",true,false,true,false,"","FLAVOR_AMMO_SHOTGUN","","",false
"PING_AMMO_HIGHCAL","! [jnel] hooked up foundAmmoHeavy.","","","#PING_LOOT_QTY","","ping_foundAmmoHeavy",true,false,true,false,"","","","",false
"PING_AMMO_SNIPER","","","","#PING_LOOT_QTY","","ping_foundAmmoSniper",true,false,true,false,"","","","",false
"PING_AMMO_ARROWS","","","","#PING_LOOT_QTY","","ping_foundAmmoArrows",true,false,true,false,"","","","",false
"PING_EQUIPMENT_ARMOR_1","","","","#PING_TIERED_LOOT","","ping_foundBodyShield",true,false,true,false,"SUB_TYPE_LEVEL1","FLAVOR_EQUIPMENT_ARMOR_1","","",false
"PING_EQUIPMENT_ARMOR_2","","","","#PING_TIERED_LOOT","","ping_foundBodyShield",true,false,true,false,"SUB_TYPE_LEVEL2","FLAVOR_EQUIPMENT_ARMOR_2","","",false
"PING_EQUIPMENT_ARMOR_3","","","","#PING_TIERED_LOOT","","ping_foundBodyShield",true,false,true,false,"SUB_TYPE_LEVEL3","FLAVOR_EQUIPMENT_ARMOR_3","","",false
"PING_EQUIPMENT_ARMOR_4","","","","#PING_TIERED_LOOT","","ping_foundBodyShield",true,false,true,false,"SUB_TYPE_LEVEL4","FLAVOR_EQUIPMENT_ARMOR_4","","",false
"PING_EQUIPMENT_ARMOR_1_EVO","","","","#PING_TIERED_LOOT","","ping_foundShieldEVO",true,false,true,false,"SUB_TYPE_LEVEL1","FLAVOR_EQUIPMENT_ARMOR_1_EVO","","",false
"PING_EQUIPMENT_ARMOR_2_EVO","","","","#PING_TIERED_LOOT","","ping_foundShieldEVO",true,false,true,false,"SUB_TYPE_LEVEL2","FLAVOR_EQUIPMENT_ARMOR_2_EVO","","",false
"PING_EQUIPMENT_ARMOR_3_EVO","","","","#PING_TIERED_LOOT","","ping_foundShieldEVO",true,false,true,false,"SUB_TYPE_LEVEL3","FLAVOR_EQUIPMENT_ARMOR_3_EVO","","",false
"PING_EQUIPMENT_ARMOR_5_EVO","","","","#PING_TIERED_LOOT","","ping_foundShieldEVO",true,false,true,false,"SUB_TYPE_LEVEL4","FLAVOR_EQUIPMENT_ARMOR_4_EVO","","",false
