"levelIndex","temp","xpPerLevel","reward","rewardQty","premium","notes","notes2"
0,"1",10,"settings/itemflav/xp_boost/battlepass_season17.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/ballistic/epicp_v22_opmech.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/gibraltar/epicp_v22_opmech.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/lifeline/epicp_v22_opmech.rpak",1,true,"",""
0,"1",0,"settings/itemflav/weapon_skin/devotion/lgnd_v22_opmech.rpak",1,true,"",""
0,"1",0,"settings/itemflav/loadscreen/s17bp_opmech_01.rpak",1,false,"",""
1,"2",10,"settings/itemflav/skydive_emote/ballistic/epic_v22_opmech_backflip.rpak",1,true,"",""
2,"3",10,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
3,"4",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
3,"4",0,"settings/itemflav/musicpack/s17bp_opmech.rpak",1,false,"",""
4,"5",10,"settings/itemflav/pack/cosmetic_legendary.rpak",1,true,"",""
4,"5",0,"settings/itemflav/grx_currency/premium.rpak",100,false,"",""
5,"6",10,"settings/itemflav/xp_boost/battlepass_season17.rpak",1,true,"",""
5,"6",0,"settings/itemflav/weapon_charm/charm_apex_theme_v22_opmech_opmech01.rpak",1,false,"",""
6,"7",10,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,"",""
6,"7",0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,"",""
7,"8",10,"settings/itemflav/character_kill_quip/ballistic/s17bp_rare_01.rpak",1,true,"",""
7,"8",0,"settings/itemflav/gcard_tracker/ballistic/s17bp_opmech_wins.rpak",1,false,"",""
8,"9",10,"settings/itemflav/weapon_skin/nemesis/rare_v22_opmech.rpak",1,true,"",""
8,"9",0,"settings/itemflav/gcard_tracker/ballistic/s17bp_opmech_kills.rpak",1,false,"",""
9,"10",10,"settings/itemflav/weapon_charm/charm_apex_theme_v22_opmech_opmech02.rpak",1,true,"",""
9,"10",0,"settings/itemflav/weapon_skin/spitfire/rare_v22_opmech.rpak",1,false,"",""
10,"11",10,"settings/itemflav/gcard_frame/ballistic/epic_v22_opmech01.rpak",1,true,"",""
10,"11",0,"settings/itemflav/loadscreen/s17bp_opmech_02.rpak",1,false,"",""
11,"12",0,"settings/itemflav/emote_icon/ballistic_opmech/epic_v22_ballistic_opmech_01.rpak",1,true,"",""
12,"13",0,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
12,"13",0,"settings/itemflav/weapon_skin/g7/rare_v22_opmech.rpak",1,false,"",""
13,"14",10,"settings/itemflav/xp_boost/battlepass_season17.rpak",1,true,"",""
13,"14",0,"settings/itemflav/gcard_tracker/loba/s17bp_opmech_wins.rpak",1,false,"",""
14,"15",10,"settings/itemflav/character_emote/loba/epic_v22_opmech_tea.rpak",1,true,"",""
14,"15",0,"settings/itemflav/gcard_tracker/loba/s17bp_opmech_kills.rpak",1,false,"",""
15,"16",10,"settings/itemflav/gcard_tracker/wattson/s17bp_opmech_career_kills.rpak",1,true,"",""
16,"17",10,"settings/itemflav/gcard_tracker/wattson/s17bp_opmech_career_wins.rpak",1,true,"",""
16,"17",0,"settings/itemflav/weapon_skin/semipistol/rare_v22_opmech.rpak",1,false,"",""
17,"18",10,"settings/itemflav/gcard_tracker/wattson/s17bp_opmech_career_damage_done.rpak",1,true,"",""
18,"19",10,"settings/itemflav/character_kill_quip/wattson/s17bp_rare_01.rpak",1,true,"",""
18,"19",0,"settings/itemflav/gcard_tracker/rampart/s17bp_opmech_wins.rpak",1,false,"",""
19,"20",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
19,"20",0,"settings/itemflav/gcard_tracker/rampart/s17bp_opmech_kills.rpak",1,false,"",""
20,"21",10,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
20,"21",0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,"",""
21,"22",10,"settings/itemflav/xp_boost/battlepass_season17.rpak",1,true,"",""
22,"23",10,"settings/itemflav/weapon_skin/flatline/rare_v22_opmech.rpak",1,true,"",""
22,"23",0,"settings/itemflav/gcard_tracker/wattson/s17bp_opmech_wins.rpak",1,false,"",""
23,"24",10,"settings/itemflav/weapon_charm/charm_apex_theme_v22_opmech_opmech03.rpak",1,true,"",""
23,"24",0,"settings/itemflav/gcard_tracker/wattson/s17bp_opmech_kills.rpak",1,false,"",""
24,"25",10,"settings/itemflav/character_skin/wattson/lgnd_v22_opmech.rpak",1,true,"",""
24,"25",0,"settings/itemflav/weapon_skin/sentinel/rare_v22_opmech.rpak",1,false,"",""
25,"26",10,"settings/itemflav/gcard_frame/wattson/epic_v22_opmech01.rpak",1,true,"",""
26,"27",0,"settings/itemflav/gcard_tracker/crypto/s17bp_opmech_wins.rpak",1,false,"",""
26,"27",0,"settings/itemflav/emote_icon/wattson_opmech/epic_v22_wattson_opmech_01.rpak",1,true,"",""
27,"28",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
27,"28",0,"settings/itemflav/gcard_tracker/crypto/s17bp_opmech_kills.rpak",1,false,"",""
28,"29",10,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
28,"29",0,"settings/itemflav/weapon_skin/lstar/rare_v22_opmech.rpak",1,false,"",""
29,"30",10,"settings/itemflav/xp_boost/battlepass_season17.rpak",1,true,"",""
30,"31",10,"settings/itemflav/character_kill_quip/ash/s17bp_rare_01.rpak",1,true,"",""
30,"31",0,"settings/itemflav/gcard_tracker/revenant/s17bp_opmech_wins.rpak",1,false,"",""
31,"32",10,"settings/itemflav/stickers/sticker_epic_v22_opmech_01.rpak",1,true,"",""
31,"32",0,"settings/itemflav/gcard_tracker/revenant/s17bp_opmech_kills.rpak",1,false,"",""
32,"33",10,"settings/itemflav/character_emote/revenant/epic_v22_opmech_bladeattack.rpak",1,true,"",""
32,"33",0,"settings/itemflav/weapon_skin/r97/rare_v22_opmech.rpak",1,false,"",""
33,"34",10,"settings/itemflav/gcard_frame/caustic/epic_v22_opmech01.rpak",1,true,"",""
34,"35",0,"settings/itemflav/weapon_skin/r301/rare_v22_opmech.rpak",1,true,"",""
34,"35",0,"settings/itemflav/gcard_tracker/octane/s17bp_opmech_wins.rpak",1,false,"",""
35,"36",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
35,"36",0,"settings/itemflav/gcard_tracker/octane/s17bp_opmech_kills.rpak",1,false,"",""
36,"37",10,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
36,"37",0,"settings/itemflav/weapon_skin/alternator/rare_v22_opmech.rpak",1,false,"",""
37,"38",10,"settings/itemflav/xp_boost/battlepass_season17.rpak",1,true,"",""
38,"39",10,"settings/itemflav/character_kill_quip/gibraltar/s17bp_rare_01.rpak",1,true,"",""
38,"39",0,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,"",""
39,"40",10,"settings/itemflav/weapon_skin/peacekeeper/rare_v22_opmech.rpak",1,true,"",""
39,"40",0,"settings/itemflav/gcard_tracker/gibraltar/s17bp_opmech_wins.rpak",1,false,"",""
40,"41",10,"settings/itemflav/weapon_charm/charm_apex_theme_v22_opmech_opmech04.rpak",1,true,"",""
40,"41",0,"settings/itemflav/gcard_tracker/gibraltar/s17bp_opmech_kills.rpak",1,false,"",""
41,"42",10,"settings/itemflav/gcard_frame/gibraltar/epic_v22_opmech01.rpak",1,true,"",""
42,"43",0,"settings/itemflav/gcard_tracker/catalyst/s17bp_opmech_wins.rpak",1,false,"",""
42,"43",0,"settings/itemflav/emote_icon/gibraltar_opmech/epic_v22_gibraltar_opmech_01.rpak",1,true,"",""
43,"44",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
43,"44",0,"settings/itemflav/gcard_tracker/catalyst/s17bp_opmech_kills.rpak",1,false,"",""
44,"45",10,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
44,"45",0,"settings/itemflav/loadscreen/s17bp_opmech_03.rpak",1,false,"",""
45,"46",10,"settings/itemflav/xp_boost/battlepass_season17.rpak",1,true,"",""
46,"47",10,"settings/itemflav/gcard_tracker/horizon/s17bp_opmech_career_kills.rpak",1,true,"",""
46,"47",0,"settings/itemflav/weapon_skin/energy_ar/rare_v22_opmech.rpak",1,false,"",""
47,"48",10,"settings/itemflav/gcard_tracker/horizon/s17bp_opmech_career_wins.rpak",1,true,"",""
47,"48",0,"settings/itemflav/gcard_tracker/horizon/s17bp_opmech_wins.rpak",1,false,"",""
48,"49",10,"settings/itemflav/gcard_tracker/horizon/s17bp_opmech_career_damage_done.rpak",1,true,"",""
48,"49",0,"settings/itemflav/gcard_tracker/horizon/s17bp_opmech_kills.rpak",1,false,"",""
49,"50",10,"settings/itemflav/character_skin/horizon/lgnd_v22_opmech.rpak",1,true,"",""
49,"50",0,"settings/itemflav/musicpack/s17bp_opmech_ballistic.rpak",1,false,"",""
50,"51",10,"settings/itemflav/character_kill_quip/horizon/s17bp_rare_01.rpak",1,true,"",""
50,"51",0,"settings/itemflav/gcard_tracker/wraith/s17bp_opmech_wins.rpak",1,false,"",""
51,"52",10,"settings/itemflav/weapon_skin/chargerifle/rare_v22_opmech.rpak",1,true,"",""
51,"52",0,"settings/itemflav/gcard_tracker/wraith/s17bp_opmech_kills.rpak",1,false,"",""
52,"53",10,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
