"weaponRef","attachmentOverride","availableOptics","defaultOptic","supportedAttachmentOverride"
"mp_weapon_shotgun_pistol","","","",""
"mp_weapon_shotgun_pistol_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"mp_weapon_shotgun_pistol_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable","optic_cq_hcog_classic",""
"mp_weapon_shotgun_pistol_purpleset","","","optic_cq_hcog_classic",""
"mp_weapon_shotgun_pistol_gold","","","optic_cq_hcog_classic",""
"mp_weapon_semipistol","","","",""
"mp_weapon_semipistol_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"mp_weapon_semipistol_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable","optic_cq_hcog_classic",""
"mp_weapon_semipistol_purpleset","","","optic_cq_hcog_classic",""
"mp_weapon_semipistol_gold","","","optic_cq_hcog_classic",""
"mp_weapon_autopistol","","","",""
"mp_weapon_autopistol_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"mp_weapon_autopistol_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable","optic_cq_hcog_classic",""
"mp_weapon_autopistol_purpleset","","","optic_cq_hcog_classic",""
"mp_weapon_autopistol_gold","","","optic_cq_hcog_classic",""
"mp_weapon_wingman","","","",""
"mp_weapon_wingman_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"mp_weapon_wingman_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable","optic_cq_hcog_classic",""
"mp_weapon_wingman_purpleset","","","optic_cq_hcog_classic",""
"mp_weapon_wingman_gold","","","optic_cq_hcog_classic",""
"mp_weapon_shotgun","","","",""
"mp_weapon_shotgun_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_holosight",""
"mp_weapon_shotgun_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable","optic_cq_holosight",""
"mp_weapon_shotgun_purpleset","","","optic_cq_holosight",""
"mp_weapon_shotgun_gold","","","optic_cq_holosight",""
"mp_weapon_alternator_smg","","","",""
"mp_weapon_alternator_smg_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"mp_weapon_alternator_smg_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable","optic_cq_hcog_classic",""
"mp_weapon_alternator_smg_purpleset","","","optic_cq_hcog_classic",""
"mp_weapon_alternator_smg_gold","","","optic_cq_hcog_classic",""
"mp_weapon_mastiff","","","",""
"mp_weapon_mastiff_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"mp_weapon_mastiff_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable","optic_cq_hcog_classic",""
"mp_weapon_mastiff_purpleset","","","optic_cq_hcog_classic",""
"mp_weapon_mastiff_gold","","","optic_cq_hcog_classic",""
"mp_weapon_energy_shotgun","","","",""
"mp_weapon_energy_shotgun_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"mp_weapon_energy_shotgun_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable","optic_cq_hcog_classic",""
"mp_weapon_energy_shotgun_purpleset","","","optic_cq_hcog_classic",""
"mp_weapon_energy_shotgun_gold","","","optic_cq_hcog_classic",""
"mp_weapon_volt_smg","","","",""
"mp_weapon_volt_smg_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"mp_weapon_volt_smg_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable","optic_cq_hcog_classic",""
"mp_weapon_volt_smg_purpleset","","","optic_cq_hcog_classic",""
"mp_weapon_volt_smg_gold","","","optic_cq_hcog_classic",""
"mp_weapon_pdw","","","",""
"mp_weapon_pdw_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"mp_weapon_pdw_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable","optic_cq_hcog_classic",""
"mp_weapon_pdw_purpleset","","","optic_cq_hcog_classic",""
"mp_weapon_pdw_gold","","","optic_cq_hcog_classic",""
"mp_weapon_r97","","","",""
"mp_weapon_r97_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"mp_weapon_r97_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable","optic_cq_hcog_classic",""
"mp_weapon_r97_purpleset","","","optic_cq_hcog_classic",""
"mp_weapon_r97_gold","","","optic_cq_hcog_classic",""
"mp_weapon_car","","","",""
"mp_weapon_car_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"mp_weapon_car_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable","optic_cq_hcog_classic",""
"mp_weapon_car_purpleset","","","optic_cq_hcog_classic",""
"mp_weapon_car_gold","","","optic_cq_hcog_classic",""
"mp_weapon_lmg","","","",""
"mp_weapon_lmg_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"mp_weapon_lmg_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_ranged_hcog optic_ranged_aog_variable","optic_cq_hcog_bruiser",""
"mp_weapon_lmg_purpleset","","","optic_ranged_aog_variable",""
"mp_weapon_lmg_gold","","","optic_ranged_aog_variable",""
"mp_weapon_esaw","","","",""
"mp_weapon_lstar","","","",""
"mp_weapon_lstar_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"mp_weapon_lstar_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_ranged_hcog optic_ranged_aog_variable","optic_cq_hcog_bruiser",""
"mp_weapon_lstar_purpleset","","","optic_ranged_aog_variable",""
"mp_weapon_lstar_gold","","","optic_ranged_aog_variable",""
"mp_weapon_dragon_lmg","","","",""
"mp_weapon_dragon_lmg_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"mp_weapon_dragon_lmg_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_ranged_hcog optic_ranged_aog_variable","optic_cq_hcog_bruiser",""
"mp_weapon_dragon_lmg_purpleset","","","optic_ranged_hcog",""
"mp_weapon_dragon_lmg_gold","","","optic_ranged_hcog",""
"mp_weapon_energy_ar","","","",""
"mp_weapon_energy_ar_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"mp_weapon_energy_ar_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_ranged_hcog optic_ranged_aog_variable","optic_cq_hcog_bruiser",""
"mp_weapon_energy_ar_purpleset","","","optic_cq_hcog_bruiser",""
"mp_weapon_energy_ar_gold","","","optic_cq_hcog_bruiser",""
"mp_weapon_vinson","","","",""
"mp_weapon_vinson_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"mp_weapon_vinson_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_ranged_hcog optic_ranged_aog_variable","optic_cq_hcog_bruiser",""
