"isDisabled","ref","type","baseWeapon","baseMods","supportedAttachments","lootTags","tier","pingCommsAction","fakeAmmoIcon","icon","pickupModel","skinOverride","attachSound","pickupSound_1p","pickupSound_3p","carrySound","pickupString","desc","countPerDrop","inventorySlotCount","netInt","passive","minPVPCurrency","maxPVPCurrency","scrapValue","droppodRotate","conditional","isDynamic","pretendsToBeBlank"
false,"blank","blank","","","","",0,"","","","",0,"","","","","","",1,1,"","",0,0,0,false,false,false,false
false,"mp_weapon_sniper","main_weapon","","crate","","sniper",5,"PING_WEAPON_KRABER","rui/hud/gametype_icons/survival/sur_ammo_kraber","","",0,"","survival_loot_pickup_weapon_sniper","survival_loot_pickup_3p_weapon_sniper","","","",1,1,"","",0,0,20,false,false,false,false
false,"mp_weapon_mastiff","main_weapon","","","sight mag grip","shotgun",1,"PING_WEAPON_MASTIFF","","","",0,"","survival_loot_pickup_weapon_mastiff","survival_loot_pickup_3p_weapon_mastiff","","","",1,1,"","",0,0,20,false,false,false,false
false,"mp_weapon_mastiff_whiteset","main_weapon","mp_weapon_mastiff","optic_cq_hcog_classic shotgun_bolt_l1 stock_tactical_l1","sight mag grip","shotgun whiteset",1,"PING_WEAPON_MASTIFF","","","",0,"","survival_loot_pickup_weapon_mastiff","survival_loot_pickup_3p_weapon_mastiff","","","",1,1,"","",0,0,20,false,false,false,false
false,"mp_weapon_mastiff_blueset","main_weapon","mp_weapon_mastiff","optic_cq_hcog_classic shotgun_bolt_l2 stock_tactical_l2","sight mag grip","shotgun blueset",2,"PING_WEAPON_MASTIFF","","","",0,"","survival_loot_pickup_weapon_mastiff","survival_loot_pickup_3p_weapon_mastiff","","","",1,1,"","",0,0,20,false,false,false,false
false,"mp_weapon_mastiff_purpleset","main_weapon","mp_weapon_mastiff","optic_cq_hcog_classic shotgun_bolt_l3 stock_tactical_l3","sight mag grip","shotgun purpleset",3,"PING_WEAPON_MASTIFF","","","",0,"","survival_loot_pickup_weapon_mastiff","survival_loot_pickup_3p_weapon_mastiff","","","",1,1,"","",0,0,20,false,false,false,false
false,"mp_weapon_mastiff_gold","main_weapon","mp_weapon_mastiff","optic_cq_hcog_classic shotgun_bolt_l4 stock_tactical_l3","sight mag grip","shotgun gold",4,"PING_WEAPON_MASTIFF","","","",0,"","survival_loot_pickup_weapon_mastiff","survival_loot_pickup_3p_weapon_mastiff","","","",1,1,"","",0,0,20,false,false,false,false
false,"mp_weapon_lstar","main_weapon","","","sight grip mag","lmg",1,"PING_WEAPON_LSTAR","","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","",0,0,20,false,false,false,false
false,"mp_weapon_lstar_crate","main_weapon","","crate optic_cq_hcog_bruiser stock_tactical_l3 energy_mag_l4","sight","lmg",5,"PING_WEAPON_LSTAR","rui/hud/gametype_icons/survival/sur_ammo_lstar","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","",0,0,20,false,false,false,false
false,"mp_weapon_lstar_whiteset","main_weapon","mp_weapon_lstar","optic_cq_hcog_classic  stock_tactical_l1 energy_mag_l1","sight grip mag","lmg whiteset",1,"PING_WEAPON_LSTAR","","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","",0,0,20,false,false,false,false
false,"mp_weapon_lstar_blueset","main_weapon","mp_weapon_lstar","optic_cq_hcog_bruiser stock_tactical_l2 energy_mag_l2","sight grip mag","lmg blueset",2,"PING_WEAPON_LSTAR","","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","",0,0,20,false,false,false,false
false,"mp_weapon_lstar_purpleset","main_weapon","mp_weapon_lstar","optic_cq_hcog_bruiser stock_tactical_l3 energy_mag_l3","sight grip mag","lmg purpleset",3,"PING_WEAPON_LSTAR","","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","",0,0,20,false,false,false,false
