"levelIndex","temp","xpPerLevel","reward","rewardQty","premium","notes","notes2"
0,"1",10,"settings/itemflav/loadscreen/s21bp_voidsinister_01.rpak",1,false,"",""
0,"1",0,"settings/itemflav/xp_boost/battlepass_season21.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/alter/epicp_v23_voidsinister.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/wraith/epicp_v23_voidsinister.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/revenant/epicp_v23_voidsinister.rpak",1,true,"",""
0,"1",0,"settings/itemflav/weapon_skin/volt/lgnd_v23_voidsinister.rpak",1,true,"",""
1,"2",10,"settings/itemflav/skydive_emote/alter/epic_alter_backflip.rpak",1,true,"",""
2,"3",10,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
3,"4",10,"settings/itemflav/musicpack/s21bp_voidsinister.rpak",1,false,"",""
3,"4",0,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
4,"5",10,"settings/itemflav/grx_currency/premium.rpak",100,false,"",""
4,"5",0,"settings/itemflav/pack/cosmetic_legendary.rpak",1,true,"",""
5,"6",10,"settings/itemflav/weapon_charm/charm_apex_theme_v23_voidsinister_voidsinister07.rpak",1,false,"",""
5,"6",0,"settings/itemflav/xp_boost/battlepass_season21.rpak",1,true,"",""
6,"7",10,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,"",""
6,"7",0,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,"",""
7,"8",10,"settings/itemflav/gcard_tracker/alter/s21bp_voidsinister_wins.rpak",1,false,"",""
7,"8",0,"settings/itemflav/weapon_skin/dmr/rare_v23_voidsinister.rpak",1,true,"",""
8,"9",10,"settings/itemflav/gcard_tracker/alter/s21bp_voidsinister_kills.rpak",1,false,"",""
8,"9",0,"settings/itemflav/character_kill_quip/madmaggie/s21bp_rare_01.rpak",1,true,"",""
9,"10",10,"settings/itemflav/weapon_skin/spitfire/rare_v23_voidsinister.rpak",1,false,"",""
9,"10",0,"settings/itemflav/stickers/sticker_epic_v23_voidsinister_01.rpak",1,true,"",""
10,"11",10,"settings/itemflav/loadscreen/s21bp_voidsinister_02.rpak",1,false,"",""
10,"11",0,"settings/itemflav/gcard_frame/gibraltar/epic_v23_voidsinister01.rpak",1,true,"",""
11,"12",10,"settings/itemflav/character_emote/lifeline/epic_v23_evilvoidwalker.rpak",1,true,"",""
12,"13",10,"settings/itemflav/weapon_skin/autopistol/rare_v23_voidsinister.rpak",1,false,"",""
12,"13",0,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
13,"14",10,"settings/itemflav/gcard_tracker/horizon/s21bp_voidsinister_wins.rpak",1,false,"",""
13,"14",0,"settings/itemflav/xp_boost/battlepass_season21.rpak",1,true,"",""
14,"15",10,"settings/itemflav/gcard_tracker/horizon/s21bp_voidsinister_kills.rpak",1,false,"",""
14,"15",0,"settings/itemflav/gcard_tracker/seer/s21bp_voidsinister_career_kills.rpak",1,true,"",""
15,"16",10,"settings/itemflav/gcard_tracker/seer/s21bp_voidsinister_career_wins.rpak",1,true,"",""
16,"17",10,"settings/itemflav/weapon_skin/chargerifle/rare_v23_voidsinister.rpak",1,false,"",""
16,"17",0,"settings/itemflav/gcard_tracker/seer/s21bp_voidsinister_career_damage_done.rpak",1,true,"",""
17,"18",10,"settings/itemflav/gcard_frame/seer/epic_v23_voidsinister01.rpak",1,true,"",""
18,"19",10,"settings/itemflav/gcard_tracker/gibraltar/s21bp_voidsinister_wins.rpak",1,false,"",""
18,"19",0,"settings/itemflav/emote_icon/seer_voidsinister/epic_v23_seer_voidsinister_01.rpak",1,true,"",""
19,"20",10,"settings/itemflav/gcard_tracker/gibraltar/s21bp_voidsinister_kills.rpak",1,false,"",""
19,"20",0,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
20,"21",10,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,"",""
20,"21",0,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
