"levelIndex","temp","xpPerLevel","reward","rewardQty","premium","notes","notes2"
0,"1",10,"settings/itemflav/loadscreen/s19bp_raga_01.rpak",1,false,"",""
0,"1",0,"settings/itemflav/xp_boost/battlepass_season19.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/wattson/epicp_v23_raga.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/newcastle/epicp_v23_raga.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/conduit/epicp_v23_raga.rpak",1,true,"",""
0,"1",0,"settings/itemflav/weapon_skin/nemesis/lgnd_v23_raga.rpak",1,true,"",""
1,"2",10,"settings/itemflav/skydive_emote/conduit/epic_v23_backflip.rpak",1,true,"",""
2,"3",10,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
3,"4",10,"settings/itemflav/musicpack/s19bp_raga.rpak",1,false,"",""
3,"4",0,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
4,"5",10,"settings/itemflav/grx_currency/premium.rpak",100,false,"",""
4,"5",0,"settings/itemflav/pack/cosmetic_legendary.rpak",1,true,"",""
5,"6",10,"settings/itemflav/weapon_charm/charm_apex_theme_v23_raga_raga07.rpak",1,false,"",""
5,"6",0,"settings/itemflav/xp_boost/battlepass_season19.rpak",1,true,"",""
6,"7",10,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,"",""
6,"7",0,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,"",""
7,"8",10,"settings/itemflav/gcard_tracker/conduit/s19bp_raga_wins.rpak",1,false,"",""
7,"8",0,"settings/itemflav/weapon_skin/chargerifle/rare_v23_raga.rpak",1,true,"",""
8,"9",10,"settings/itemflav/gcard_tracker/conduit/s19bp_raga_kills.rpak",1,false,"",""
8,"9",0,"settings/itemflav/character_kill_quip/wraith/s19bp_rare_01.rpak",1,true,"",""
9,"10",10,"settings/itemflav/weapon_skin/compound_bow/rare_v23_raga.rpak",1,false,"",""
9,"10",0,"settings/itemflav/stickers/sticker_epic_v23_raga_01.rpak",1,true,"",""
10,"11",10,"settings/itemflav/loadscreen/s19bp_raga_02.rpak",1,false,"",""
10,"11",0,"settings/itemflav/gcard_frame/bloodhound/epic_v23_raga01.rpak",1,true,"",""
11,"12",10,"settings/itemflav/character_emote/catalyst/epic_v23_raga_drinkinghorn.rpak",1,true,"",""
12,"13",10,"settings/itemflav/weapon_skin/devotion/rare_v23_raga.rpak",1,false,"",""
12,"13",0,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
13,"14",10,"settings/itemflav/gcard_tracker/bangalore/s19bp_raga_wins.rpak",1,false,"",""
13,"14",0,"settings/itemflav/xp_boost/battlepass_season19.rpak",1,true,"",""
14,"15",10,"settings/itemflav/gcard_tracker/bangalore/s19bp_raga_kills.rpak",1,false,"",""
14,"15",0,"settings/itemflav/gcard_tracker/rampart/s19bp_raga_career_kills.rpak",1,true,"",""
15,"16",10,"settings/itemflav/gcard_tracker/rampart/s19bp_raga_career_wins.rpak",1,true,"",""
16,"17",10,"settings/itemflav/weapon_skin/sentinel/rare_v23_raga.rpak",1,false,"",""
