"levelIndex","temp","xpPerLevel","reward","rewardQty","premium","notes","notes2"
0,"1",10,"settings/itemflav/loadscreen/s20bp_outurbana_01.rpak",1,false,"",""
0,"1",0,"settings/itemflav/xp_boost/battlepass_season20.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/fuse/epicp_v23_outurbana.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/crypto/epicp_v23_outurbana.rpak",1,true,"",""
0,"1",0,"settings/itemflav/character_skin/ash/epicp_v23_outurbana.rpak",1,true,"",""
0,"1",0,"settings/itemflav/weapon_skin/tripletake/lgnd_v23_outurbana.rpak",1,true,"",""
1,"2",10,"settings/itemflav/skydive_emote/wraith/run.rpak",1,true,"",""
2,"3",10,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
3,"4",10,"settings/itemflav/musicpack/s20bp_outurbana_01.rpak",1,false,"",""
3,"4",0,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
4,"5",10,"settings/itemflav/grx_currency/premium.rpak",100,false,"",""
4,"5",0,"settings/itemflav/pack/cosmetic_legendary.rpak",1,true,"",""
5,"6",10,"settings/itemflav/weapon_charm/charm_apex_theme_v23_outurbana_outurbana07.rpak",1,false,"",""
5,"6",0,"settings/itemflav/xp_boost/battlepass_season20.rpak",1,true,"",""
6,"7",10,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,"",""
6,"7",0,"settings/itemflav/pack/cosmetic_rare.rpak",1,true,"",""
7,"8",10,"settings/itemflav/weapon_skin/mozambique/rare_v23_outurbana.rpak",1,false,"",""
7,"8",0,"settings/itemflav/weapon_skin/3030repeater/rare_v23_outurbana.rpak",1,true,"",""
8,"9",10,"settings/itemflav/character_kill_quip/horizon/s20bp_rare_01.rpak",1,true,"",""
9,"10",10,"settings/itemflav/gcard_frame/seer/epic_v23_gala01.rpak",1,false,"",""
9,"10",0,"settings/itemflav/stickers/sticker_epic_v23_outurbana_01.rpak",1,true,"",""
10,"11",10,"settings/itemflav/loadscreen/s20bp_outurbana_02.rpak",1,false,"",""
10,"11",0,"settings/itemflav/gcard_frame/horizon/epic_v23_outurbana01.rpak",1,true,"",""
11,"12",10,"settings/itemflav/character_emote/conduit/epic_v23_smokebomb.rpak",1,true,"",""
12,"13",10,"settings/itemflav/weapon_skin/nemesis/rare_v23_outurbana.rpak",1,false,"",""
12,"13",0,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
13,"14",10,"settings/itemflav/gcard_tracker/bloodhound/s20bp_outurbana_wins.rpak",1,false,"",""
13,"14",0,"settings/itemflav/xp_boost/battlepass_season20.rpak",1,true,"",""
14,"15",10,"settings/itemflav/gcard_tracker/bloodhound/s20bp_outurbana_kills.rpak",1,false,"",""
14,"15",0,"settings/itemflav/gcard_tracker/bangalore/s20bp_outurbana_career_kills.rpak",1,true,"",""
15,"16",10,"settings/itemflav/gcard_tracker/bangalore/s20bp_outurbana_career_wins.rpak",1,true,"",""
16,"17",10,"settings/itemflav/weapon_skin/alternator/rare_v23_outurbana.rpak",1,false,"",""
16,"17",0,"settings/itemflav/gcard_tracker/bangalore/s20bp_outurbana_career_damage_done.rpak",1,true,"",""
17,"18",10,"settings/itemflav/gcard_tracker/crypto/s20bp_outurbana_wins.rpak",1,false,"",""
17,"18",0,"settings/itemflav/gcard_frame/bangalore/epic_v23_outurbana01.rpak",1,true,"",""
18,"19",10,"settings/itemflav/gcard_tracker/crypto/s20bp_outurbana_kills.rpak",1,false,"",""
18,"19",0,"settings/itemflav/emote_icon/bangalore_outurbana/epic_v23_bangalore_outurbana_01.rpak",1,true,"",""
19,"20",10,"settings/itemflav/gcard_frame/fuse/epic_v23_gala01.rpak",1,false,"",""
19,"20",0,"settings/itemflav/grx_currency/crafting.rpak",120,true,"",""
20,"21",10,"settings/itemflav/pack/cosmetic_rare.rpak",1,false,"",""
20,"21",0,"settings/itemflav/grx_currency/premium.rpak",100,true,"",""
21,"22",10,"settings/itemflav/gcard_tracker/bangalore/s20bp_outurbana_wins.rpak",1,false,"",""
