"displayLevel","xpPerLevel"
1,100
2,300
3,500
4,700
5,900
6,1100
7,1300
8,1500
9,1700
10,1900
11,2100
12,2300
13,2500
14,2700
15,2900
16,3100
17,3300
18,3500
19,3700
20,3900
21,4100
22,4300
23,4500
24,4700
25,4900
26,5000
27,5000
28,5000
29,5000
30,5000
31,5000
32,5000
33,5000
34,5000
35,5000
36,5000
37,5000
38,5000
39,5000
40,5000
41,5000
42,5000
43,5000
44,5000
45,5000
46,5000
47,5000
48,5000
49,5000
50,5000
51,5000
52,5000
53,5000
54,5000
55,5000
56,5000
57,5000
58,5000
59,5000
60,5000
61,5000
62,5000
63,5000
64,5000
65,5000
66,5000
67,5000
68,5000
69,5000
70,5000
71,5000
72,5000
73,5000
74,5000
75,5000
76,5000
77,5000
78,5000
79,5000
80,5000
81,5000
82,5000
83,5000
84,5000
85,5000
86,5000
87,5000
88,5000
89,5000
90,5000
91,5000
92,5000
93,5000
94,5000
95,5000
96,5000
97,5000
98,5000
99,5000
100,5000
101,50000
102,50000
103,50000
104,50000
105,50000
106,50000
107,50000
108,50000
109,50000
110,50000
111,50000
112,50000
113,50000
114,50000
115,50000
116,50000
117,50000
118,50000
119,50000
"int","int"
