"notes","weaponName","tierLevel","rewards","finalRewardType","isAllWeaponReward","specialBadge","rewardsNotes"
"all weapon reward","",-1,"SAID00416074372",0,true,"","itemflav\gcard_frame\shared\lgnd_v22_mastery30"
"alternator - lv 20","SAID01475792313",0,"SAID02021159902",0,false,"SAID02021159902","itemflav\gcard_badge\account\mastery_alternator"
"alternator - lv 40","SAID01475792313",1,"SAID02064691052",0,false,"","itemflav\gcard_tracker\mastery_alternator_kills"
"alternator - lv 60","SAID01475792313",2,"SAID02021159902",0,false,"SAID02021159902","itemflav\gcard_badge\account\mastery_alternator"
"alternator - lv 80","SAID01475792313",3,"SAID00736220011",0,false,"","itemflav\gcard_tracker\mastery_alternator_damage_done"
"alternator - lv 100","SAID01475792313",4,"SAID02055301854",0,false,"","itemflav\pack\mastery_alternator"
"alternator - final reward","SAID01475792313",-1,"SAID00459993614",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery25"
"autopistol - lv 20","SAID00686444189",0,"SAID01878639374",0,false,"SAID01878639374","itemflav\gcard_badge\account\mastery_re45"
"autopistol - lv 40","SAID00686444189",1,"SAID00810980355",0,false,"","itemflav\gcard_tracker\mastery_re45_kills"
"autopistol - lv 60","SAID00686444189",2,"SAID01878639374",0,false,"SAID01878639374","itemflav\gcard_badge\account\mastery_re45"
"autopistol - lv 80","SAID00686444189",3,"SAID00440882872",0,false,"","itemflav\gcard_tracker\mastery_re45_damage_done"
"autopistol - lv 100","SAID00686444189",4,"SAID00341695634",0,false,"","itemflav\pack\mastery_re45"
"autopistol - final reward","SAID00686444189",-1,"SAID01723411930",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery15"
"chargerifle - lv 20","SAID00107352658",0,"SAID00897165922",0,false,"SAID00897165922","itemflav\gcard_badge\account\mastery_chargerifle"
"chargerifle - lv 40","SAID00107352658",1,"SAID01759048727",0,false,"","itemflav\gcard_tracker\mastery_chargerifle_kills"
"chargerifle - lv 60","SAID00107352658",2,"SAID00897165922",0,false,"SAID00897165922","itemflav\gcard_badge\account\mastery_chargerifle"
"chargerifle - lv 80","SAID00107352658",3,"SAID00584839989",0,false,"","itemflav\gcard_tracker\mastery_chargerifle_damage_done"
