"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"themeName","string","0",""
"worldModel","asset_noprecache","0","3rd person weapon model"
"viewModel","asset_noprecache","0","1st person weapon viewmodel"
"blade","asset_noprecache","0",""
"theme","asset_noprecache","0",""
"powerSource","asset_noprecache","0",""
"deathbox","asset_noprecache","0",""
"activationEmote","asset_noprecache","0",""
"setName","string","0","Name to show for the set in the UI"
"setImageRef","string","0","Image ref to show for the set in the UI"
