"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset_noprecache","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"grxMode","string","0","Specify what kind of item this is in the GRX backend (essentially MTX/EA Marketplace). Note that you can specify this without adding it to marketplace (it will be a warning but the game will run)."
"grxRef","string","0","The string ref used for communicating with EA Marketplace. DO NOT ADD A NEW STRING OR EDIT THIS STRING WITHOUT TALKING TO XANDER!!!"
"ownershipTarget","asset_noprecache","0",""
"packType","string","0",""
"themeFlavor","asset_noprecache","0",""
"stickerRewardPack","asset_noprecache","0",""
"stickerRewardSequence","string","0",""
"tickMdl","asset_noprecache","0",""
"tickMdlSkin","string","0",""
"openButtonIcon","asset_noprecache","0",""
"triadBounceSound","string","0",""
"puckLandSound","string","0",""
"unpackSound","string","0",""
"deployTriadExplo1Sound","string","0",""
"deployTriadExplo2Sound","string","0",""
"deployTriadExplo3Sound","string","0",""
"multipleOwnershipTargets","array_dynamic","0",""
"packContents","array_dynamic","1","A list of the items contained in this pack."
"customCol0","float3","0",""
"countTextCol","float3","0",""
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"hasStickers","bool","0","If this pack contains Stickers, check this to populate the 12th possible item category with 'Stickers'."
"hasSkydives","bool","0","If this pack contains Skydive Emotes, check this to populate the 12th possible item category with 'Skydive Emotes'. Defaults to 'true' *in RUI script* for Event packs."
"hasHolosprays","bool","0","If this pack contains Holosprays, check this to use the alt disclosure layout for packs. Defaults to 'false' *in RUI script* for Event packs."
"usesMOTDButtonForCount","bool","0","If checked, the legal disclaimer will update to tell players that the owned item count is displayed on the MOTD button rather than the Event tab."
"isEphemeral","bool","0","If checked, script will try to automatically open this pack if the player has one."
"isExpectedToContainSingleItemWithCurrency","bool","0","If checked, script will present the items from this pack in a particular way."
"useCustomColors","bool","0",""
