"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset_noprecache","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"platform","string","0","If it's a Ranked Rumble, choose the target platform of this cup."
"minRankScore","string","0","The minimum rank score a player must have reached before being able to register for the Cup"
"maxRankScore","string","0","The maximum rank score a player may reach before being unable to register for the Cup"
"requiredMMRBucket","int","0","The required MMR bucket a player must have to be eligible to register for the Cup"
"minEntryLevel","int","0","The minimum level a player must have reached before being able to register for the Cup"
"tiers","array_dynamic","0",""
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"hasMMREntryRequirement","bool","0","Determines whether to limit cup entry based off the players MMR bucket"
"hasMinLevelLimit","bool","0","Determines whether to limit cup entry based of minimum player level"
"hasMinRankLimit","bool","0","Determines whether to limit cup entry based of minimum player rank"
"hasMaxRankLimit","bool","0","Determines whether to limit cup entry based of maximum player rank"
