"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset_noprecache","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"grxMode","string","0","Specify what kind of item this is in the GRX backend (essentially MTX/EA Marketplace). Note that you can specify this without adding it to marketplace (it will be a warning but the game will run)."
"grxRef","string","0","The string ref used for communicating with EA Marketplace. DO NOT ADD A NEW STRING OR EDIT THIS STRING WITHOUT TALKING TO XANDER!!!"
"ownershipTarget","asset_noprecache","0",""
"basicPurchasePack","asset_noprecache","0",""
"bundlePurchasePack","asset_noprecache","0",""
"xpPurchaseFlav","asset_noprecache","0",""
"bubblePurchaseFlav","asset_noprecache","0",""
"xpBoostFlav","asset_noprecache","0",""
"challengeRerollFlav","asset_noprecache","0",""
"rewardScheduleDatatableV2","asset_noprecache","0",""
"rewardScheduleDatatable","asset_noprecache","0",""
"milestoneScheduleDatatable","asset_noprecache","0",""
"milestoneTierRepImage","asset_noprecache","0",""
"milestoneBundleRepImage","asset_noprecache","0",""
"storeBundleContentsImage","asset_noprecache","0",""
"aboutPurchaseTitle","string","0",""
"featureTitle","string","0",""
"largeLogo","asset_noprecache","0",""
"smallLogo","asset_noprecache","0",""
"xSmallLogo","asset_noprecache","0",""
"bannerImage","asset_noprecache","0",""
"progressBadge","asset_noprecache","0",""
"rewardsVideo","string","0",""
"levelUpSound","string","0",""
"multipleOwnershipTargets","array_dynamic","0",""
"milestoneTierRepLevels","array_dynamic","1",""
"milestoneBundleRepLevels","array_dynamic","2",""
"bulletTextStandard","array_dynamic","3",""
"bulletTextRestricted","array_dynamic","4",""
"dailyChallenges","array_dynamic","5",""
"weeklyRecurringChallenges","array_dynamic","6",""
"weeklyChallenges","array_dynamic","7",""
"rewardPopupLevels","array_dynamic","8",""
"headerColor","float3","0",""
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"useStarsToProgress","bool","0","If this is selected, we will grant stars (instead of Grindlord) when battlepass levels are purchased"
"weeklyRecurringResetsEveryWeek","bool","0","If this is selected, weekly recurring challenges will reset progress at the start of each week"
