"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset_noprecache","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"revealUnixTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_reveal_time"
"hideUnixTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_hide_time"
"defaultStartTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_start_time"
"defaultFinishTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_finish_time"
"eventId","string","0","Must be unique vs other active events!"
"typeId","asset_noprecache","0",""
"condition_party","string","0",""
"boostReqDescription","string","0","Secondary description (for conditions, requirements)"
"uiModifierSummary","string","0","Small text that only shows in Boost Panel UI (ex: 'MAX +300%')"
"uiBadgeIconSmall","asset_noprecache","0",""
"conditions_gamemode","array_dynamic","0",""
"conditions_region","array_dynamic","1",""
"conditions_platform","array_dynamic","2",""
"boostCategory","int","0",""
"uiModifierSummaryAmount","float","0","The representative modifier amount text (ex: '100%' will want 100, '1.5x' will need '1.5')."
"uiColor","float3","0",""
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"isDevEvent","bool","0","If checked, will only be imported if sh_boost useDevBoosts is true"
