"fieldName","dataType","layoutIndex","helpText"
"aboutScreenshotImage","asset_noprecache","0",""
"aboutTitle","string","0",""
"aboutDesc","string","0",""
"hasSeenAboutChallengesPersistentVarName","string","0","If defined, sets this persistence var when seen on the About Screen."
"requiredChallengesPersistentVarName","string","0","If defined, checks this persistence var to unlock the challenges."
"hasSeenChallengesPersistentVarName","string","0","If defined, sets this persistence var when the challenges popup is seen."
"requiredStartTime","string","0","If defined, requires this as the start date.\nFormatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00"
"prologueLobbyDesc","string","0","Only used in the lobby to direct the players to open the About Page to start the story."
"prologuePersistentVarName","string","0","Name of the persistent var to set when prologue is complete."
"radioVignetteBk","string","0","If defined, this will be unlocked to the player once the chapter is finished."
"radioVignetteMilesEvent","string","0","Miles event that plays along with Radio Vignette."
"playlistName","string","0","If defined, this will show a play button. When clicked it will close the UI and queue the player up to the defined playlist"
"requiredChallengesPersistentVarNameCount","int","0",""
"challenges","array_dynamic","0",""
"isPrologue","bool","0","If checked, this stage is the prologue"
