"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset_noprecache","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"typeOfMetaChallenge","string","0",""
"challengeSet","asset_noprecache","0",""
"challengeCollection","asset_noprecache","0",""
"rewardCampaign","asset_noprecache","0",""
"timeSpan","string","0",""
"autogenSlot","string","0","Determines which autogen persistence slot to use for the statref for this challenge - note that two challenges cannot share the same autogen slot (assert will fire in client on dev)."
"autogenScriptHook","string","0",""
"difficulty","string","0",""
"mode","string","0",""
"modeAlt","string","0","This must match the stat ref of the second stat referenced by the challenge"
"grxRewardSequenceRef","string","0","If set, give the item rewards for each tier using GRX_GiveSequenceRewardEasy instead of GRX_QueueGiveRewards. Alphanumeric and underscore only."
"weekNumber","int","0",""
"tiers","array_dynamic","0","Each tier is something to accomplish. When completed the challenge advances to the next tier. The reward is given at the end of all tiers."
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"isMetaChallenge","bool","0","Is challenge a meta challenge for a challenge collection/challenge set?"
"autoGenerateStatBacker","bool","0","When enabled, this challenge will have an automatically generated statref & accompanying script for updating it. NOTE: This only functions for challenges that have a known hook type in Bakery; if this for a new game mode or novel stat, please contact MTX scripting."
"isBoostEnabled","bool","0","When enabled, Challenge Progress can be influenced by Progession Modifiers ( Initially made for Prestige Skin Challenges )."
"isEitherOr","bool","0",""
"isRerollEnabled","bool","0","When enabled, challenge can be rerolled."
"isPremium","bool","0","Requires Premium Battle Pass"
"isGoldenScheme","bool","0","This Challenge will display with a golden color scheme overwriting any other settings"
"maxOneTierPerMatch","bool","0","blocks rewarding for tier completion in matches which prevents progressing to the next tier."
"lastTierIsInfinite","bool","0","Last Tier Repeats Infinitely"
"pinnedLocal","bool","0","This challenge is pinned only on its own category type and enabling this removes global pinned challenges from the category"
"excludeFromPostMatchSummary","bool","0","This challenge will not be shown in the list of challenges with progression."
"hasGRXRewardSequenceForPDEF","bool","0","If checked, you need to enter a rewardseq value below that will then be used by the PDEF Autogen job."
"grxRewardSequenceAllowsSkipAhead","bool","0","Allows the reward sequence to gracefully skip ahead if the player owns the GRX items to be granted at a given tier."
