"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset_noprecache","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"grxMode","string","0","Specify what kind of item this is in the GRX backend (essentially MTX/EA Marketplace). Note that you can specify this without adding it to marketplace (it will be a warning but the game will run)."
"grxRef","string","0","The string ref used for communicating with EA Marketplace. DO NOT ADD A NEW STRING OR EDIT THIS STRING WITHOUT TALKING TO XANDER!!!"
"ownershipTarget","asset_noprecache","0",""
"video","string","0",""
"attackerAnimSeq","asset_noprecache","0",""
"victimLightAnimSeq","asset_noprecache","0",""
"victimMediumAnimSeq","asset_noprecache","0",""
"victimHeavyAnimSeq","asset_noprecache","0",""
"victimNPCMediumAnimSeq","asset_noprecache","0",""
"attackerPreviewAnimSeq","asset_noprecache","0","(used by loot ceremony)"
"victimPreviewAnimSeq","asset_noprecache","0","(used by loot ceremony)"
"multipleOwnershipTargets","array_dynamic","0",""
"executionDependency","int","0","Tags if the finisher is dependent on a prestige skin / heirloom ownership (affects equip behavior rules)"
"additionalAttackerAnimSeq","array_dynamic","1",""
"victimPerCharacterAnimSeq","array_dynamic","2",""
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"isNotEquippable","bool","0","most executions are equippable. Check this box if this is one of the special executions that is auto-equipped somehow."
"shouldHideIfNotEquippable","bool","0","if you want to hide an unequippable execution to not show the video preview."
