"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset_noprecache","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"tagCategory","string","0",""
"tagCategoryGameModeList","string","0",""
"tagCategoryPlaystyleList","string","0",""
"tagCategoryExperienceLevelList","string","0",""
"tagCategoryCommunicationList","string","0",""
"tagCategorySocialList","string","0",""
"tagCategoryPlatformList","string","0",""
"tagBitAddress","int","0","Search Tags are assigned to clubs via bitfield. This value must be unique for every search tag."
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"isSearchTagEnabled","bool","0","If unchecked, this search tag will not be available to users to select."
