"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset_noprecache","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"grxMode","string","0","Specify what kind of item this is in the GRX backend (essentially MTX/EA Marketplace). Note that you can specify this without adding it to marketplace (it will be a warning but the game will run)."
"grxRef","string","0","The string ref used for communicating with EA Marketplace. DO NOT ADD A NEW STRING OR EDIT THIS STRING WITHOUT TALKING TO XANDER!!!"
"ownershipTarget","asset_noprecache","0",""
"stillAnimSeq","asset","0",""
"lightingRigStillAnimSeq","asset","0",""
"movingAnimSeq","asset","0",""
"lightingRigMovingAnimSeq","asset","0",""
"multipleOwnershipTargets","array_dynamic","0",""
"horizontalFOV","float","0","Camera horizontal field of view (angle in degrees, same as Maya's Angle of View)"
"light0_brightness","float","0",""
"light0_distance","float","0",""
"light0_cone","float","0",""
"light0_innercone","float","0",""
"light0_halfbrightfrac","float","0",""
"light1_brightness","float","0",""
"light1_distance","float","0",""
"light1_cone","float","0",""
"light1_innercone","float","0",""
"light1_halfbrightfrac","float","0",""
"light2_brightness","float","0",""
"light2_distance","float","0",""
"light2_cone","float","0",""
"light2_innercone","float","0",""
"light2_halfbrightfrac","float","0",""
"light3_brightness","float","0",""
"light3_distance","float","0",""
"light3_cone","float","0",""
"light3_innercone","float","0",""
"light3_halfbrightfrac","float","0",""
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"hasMovingAnim","bool","0",""
"light0_pbrfalloff","bool","0",""
"light0_castshadows","bool","0",""
"light1_pbrfalloff","bool","0",""
"light1_castshadows","bool","0",""
"light2_pbrfalloff","bool","0",""
"light2_castshadows","bool","0",""
"light3_pbrfalloff","bool","0",""
"light3_castshadows","bool","0",""
