"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset_noprecache","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"parentItemFlavor","asset_noprecache","0",""
"challengeAsset","asset_noprecache","0",""
"executionAsset","asset_noprecache","0",""
"skydivetrailAsset","asset_noprecache","0",""
"baseSkinName","string","0",""
"skinsByTier","array_dynamic","0","A list of skins for each tier of the mythic progression. Must not be empty."
"storeImagesByTier","array_dynamic","1","A list of images for each tier of the mythic skin for the heirloom shop."
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"isExecutionUsableOnTier1AndTier2","bool","0","If enabled, mythic character execution unlocks at tier 3 and usable on tier 1 and tier 2."
