"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset_noprecache","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"playlistName","string","0","Will be launched to play this mission."
"unlockTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nWhen this mission becomes playable."
"questItemIcon","asset_noprecache","0",""
"loreType","string","0",""
"loreSequenceChapterPostSuccessDT","asset_noprecache","0",""
"radioPlay","asset_noprecache","0",""
"firstPlaylistBool","string","0","Playlist bool to look up to see if the second lore type is active after past the cal date"
"secondPlaylistBool","string","0","Playlist bool to look up to see if the second lore type is active after past the cal date"
"secondQuestItemIcon","asset_noprecache","0",""
"secondLoreType","string","0",""
"secondLoreSequenceChapterPostSuccessDT","asset_noprecache","0",""
"secondRadioPlay","asset_noprecache","0",""
"loreSequenceChapterPostSuccessName","string","0",""
"questItemName","string","0",""
"questItemDesc","string","0",""
"loreSequenceQuestItemDT","asset_noprecache","0",""
"loreSequenceQuestItemName","string","0",""
"rewards","array_dynamic","0",""
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"hasCommunityVote","bool","0","Ability to turn on either or depending on playlist variables"
