"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset_noprecache","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"grxMode","string","0","Specify what kind of item this is in the GRX backend (essentially MTX/EA Marketplace). Note that you can specify this without adding it to marketplace (it will be a warning but the game will run)."
"grxRef","string","0","The string ref used for communicating with EA Marketplace. DO NOT ADD A NEW STRING OR EDIT THIS STRING WITHOUT TALKING TO XANDER!!!"
"ownershipTarget","asset_noprecache","0",""
"calEventFlav","asset_noprecache","0","(Optional) This voucher will only be valid and its effects will only take effect while the specified event is active."
"behavior","string","0",""
"consumableUseCountPDefVarName","string","0","Consumable usages are tracked by incrementing this PDef var"
"overTimeExpiryBehavior","string","0",""
"overTimeExpiryDescLocKey","string","0",""
"model","asset_noprecache","0",""
"effectStatRef","string","0",""
"effectPersistenceName","string","0",""
"multipleOwnershipTargets","array_dynamic","0",""
"overTimeExpiryDurationHours","float","0",""
"overTimeExpiryMatchCount","int","0",""
"effectBattlepassLevels","int","0",""
"effectBattlepassStars","int","0",""
"effectAccountXP","int","0",""
"effectStatAmount","int","0",""
"effectPersistenceAmount","int","0",""
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"shouldShowToPlayer","bool","0","If checked, players will be able to see in the UI how many of this voucher they have."
"shouldAllowPlayerToActivate","bool","0","If checked, players will be able to activate this voucher via button in the UI."
