"fieldName","dataType","layoutIndex","helpText"
"gibModels","array","0",""
"gibModelsSoftened","array","1",""
"gibAttachments","array","2",""
"poseSettings","array","3",""
"assetName","string","0",""
"printName","string","0","The printable name of this class"
"shortPrintName","string","0","The printable short name of this class"
"description","string","0","The printable description of this class"
"subclass","string","0","An optional subclass field for this class"
"voice","string","0",""
"painDeathSoundType","string","0","Determines sounds to play for pain or death."
"pak","asset_noprecache","0","The pak file to use for loading the real models."
"bodyModel","asset_noprecache","0","Model used when part of the red team"
"loadingBodyModel","asset_noprecache","0","3rd person character model to show when loading"
"bodyModelRigWeight","string","0",""
"armsModel","asset_noprecache","0","Viewmodel arms used when part of the red team"
"loadingArmsModel","asset_noprecache","0","1st person arms model to show while loading"
"cockpitModel","asset_noprecache","0",""
"weaponClass","string","0","Class of weapons that may be used"
"aiSettingsFile","string","0","Corresponding AI settings for this class, typically for auto titans"
"sp_aiSettingsFile","string","0","Corresponding AI settings for this class, typically for auto titans"
"at_aiSettingsFile","string","0","Corresponding AI settings for this class, typically for auto titans"
"hatchModel","asset_noprecache","0",""
"titanCharacterName","string","0",""
"readymessage","string","0",""
"readyhint","string","0",""
"raceOrSex","string","0",""
"unitframe_icon","asset_noprecache","0",""
"hud_follow_icon","string","0",""
"hud_guard_icon","string","0",""
"core_building_icon","string","0",""
"core_ready_icon","string","0",""
"autoprecache_script","string","0",""
"execution_anim","string","0",""
"startup_sound","string","0",""
"fx_jetwash_impactTable","string","0","ImpactTable for jetwash effects applied when boosting over a surface."
"fx_hover_friendly","string","0","FX played for friendlies when hovering"
"fx_hover_enemy","string","0","FX played for enemies when hovering"
"sharedEnergyNotUsableSound","string","0",""
"sharedEnergyRegenSound","string","0",""
"classActivityModifier","string","0","Activity modifier applied to player for class-specific animations"
"footstep_type","string","0","Class of footstep sounds to use."
"rumbleOnJump","string","0",""
"rumbleOnDoubleJump","string","0",""
"rumbleOnWallrunStart","string","0",""
"rumbleOnWallrunTimeout","string","0",""
"rumbleOnWallHangStart","string","0",""
"rumbleOnLandingSoft","string","0",""
"rumbleOnLandingHard","string","0",""
"rumbleOnSlideBegin","string","0",""
"rumbleOnZiplineAttach","string","0",""
"rumbleOnZiplineDetach","string","0",""
"rumbleOnDodge","string","0",""
"landingImpactTable","string","0",""
"footstepImpactTable","string","0",""
"dodgeImpactTable","string","0",""
"slideEffectTable","string","0",""
"aimassist_adspull_centerAttachmentName","string","0",""
"aimassist_adspull_headshotAttachmentName","string","0",""
"gibFX","string","0",""
"gibSound","string","0",""
"sound_superJump","string","0","Sound when player double-jumps."
"sound_superJumpFail","string","0","Sound when player fails a double-jump."
"sound_dodge_1p","string","0","Sound when player dodges."
"sound_dodge_3p","string","0","Sound when player dodges."
"sound_dodgeFail","string","0","Sound when player fails a dodge."
"sound_groundImpact","string","0","Sound when player lands."
"sound_wallrunImpact_1p","string","0","Sound when player starts a wallrun in 1p"
"sound_wallrunImpact_3p","string","0","Sound when player starts a wallrun in 3p"
"sound_wallHangStart","string","0","Sound when starting to wall hang."
"sound_wallHangComplete_1p","string","0","Sound when finished getting into wall hang state in 1p."
"sound_wallHangComplete_3p","string","0","Sound when finished getting into wall hang state in 3p."
"sound_wallrunSlip","string","0","Sound when starting to slip out of a wallrun."
"sound_wallHangSlip","string","0","Sound when starting to slip out of a wall hang."
"sound_wallrunFall_1p","string","0","Sound when falling out of a wallrun in 1p."
"sound_wallrunFall_3p","string","0","Sound when falling out of a wallrun in 3p."
"sound_wallHangFall","string","0","Sound when falling out of a wall hang."
"sound_standToCrouch_1p","string","0","Sound when crouching in 1p."
"sound_standToCrouch_3p","string","0","Sound when standing in 3p."
"sound_crouchToStand_1p","string","0","Sound when crouching in 1p."
"sound_crouchToStand_3p","string","0","Sound when standing in 3p."
"sound_freefall_start_1p","string","0","Sound when player starts freefalling in 1p."
"sound_freefall_start_3p","string","0","Sound when player starts freefalling in 3p."
"sound_freefall_body_1p","string","0","Sound played while player is freefalling in 1p."
"sound_freefall_body_3p","string","0","Sound played while player is freefalling in 3p."
"sound_freefall_finish_1p","string","0","Sound when player finishes freefalling in 1p."
"sound_freefall_finish_3p","string","0","Sound when player finishes freefalling in 3p."
"sound_jumpjet_jump_start_1p","string","0","Sound when player starts jumping in 1p."
"sound_jumpjet_jump_start_3p","string","0","Sound when player starts jumping in 3p."
"sound_jumpjet_jump_body_1p","string","0","Sound played while player is jumping in 1p."
"sound_jumpjet_jump_body_3p","string","0","Sound played while player is jumping in 3p."
"sound_jumpjet_jump_finish_1p","string","0","Sound when player finishes jumping in 1p."
"sound_jumpjet_jump_finish_3p","string","0","Sound when player finishes jumping in 3p."
"sound_jumpjet_jet_start_1p","string","0","Sound when player starts double-jumping in 1p."
"sound_jumpjet_jet_start_3p","string","0","Sound when player starts double-jumping in 3p."
"sound_jumpjet_jet_body_1p","string","0","Sound played while player is double-jumping in 1p."
"sound_jumpjet_jet_body_3p","string","0","Sound played while player is double-jumping in 3p."
"sound_jumpjet_jet_finish_1p","string","0","Sound when player finishes double-jumping in 1p."
"sound_jumpjet_jet_finish_3p","string","0","Sound when player finishes double-jumping in 3p."
"sound_jumpjet_wallrun_start_1p","string","0","Sound when player starts wallrunning in 1p."
"sound_jumpjet_wallrun_start_3p","string","0","Sound when player starts wallrunning in 3p."
"sound_jumpjet_wallrun_body_1p","string","0","Sound played while player is wallrunning in 1p."
"sound_jumpjet_wallrun_body_3p","string","0","Sound played while player is wallrunning in 3p."
"sound_jumpjet_wallrun_finish_1p","string","0","Sound when player finishes wallrunning in 1p."
"sound_jumpjet_wallrun_finish_3p","string","0","Sound when player finishes wallrunning in 3p."
"sound_jumpjet_slide_start_1p","string","0","Jumpjet sound when beginning a slide in 1p."
"sound_jumpjet_slide_start_3p","string","0","Jumpjet sounds when beginning a slide in 3p."
"sound_boost_short_1p","string","0","Sound when player performs a short repeated boost in 1p"
"sound_boost_short_3p","string","0","Sound when player performs a short repeated boost in 3p"
"sound_boost_start_1p","string","0","Sound when player starts boost in 1p."
"sound_boost_start_3p","string","0","Sound when player starts boost in 3p."
"sound_boost_body_1p","string","0","Sound played while player is boosting in 1p. Sound is faded out when boost finishes."
"sound_boost_body_3p","string","0","Sound played while player is boosting in 3p. Sound is faded out when boost finishes."
"sound_boost_finish_1p","string","0","Sound when player finishes boost in 1p."
"sound_boost_finish_3p","string","0","Sound when player finishes boost in 3p."
"sound_glide_start_1p","string","0","Sound when player starts glide in 1p."
"sound_glide_start_3p","string","0","Sound when player starts glide in 3p."
"sound_glide_body_1p","string","0","Sound played while player is gliding in 1p. Sound is faded out when glide finishes."
"sound_glide_body_3p","string","0","Sound played while player is gliding in 3p. Sound is faded out when glide finishes."
"sound_glide_finish_1p","string","0","Sound when player finishes glide in 1p."
"sound_glide_finish_3p","string","0","Sound when player finishes glide in 3p."
"sound_glide_finish_out_of_glide_1p","string","0","Sound when player finishes glide by running out of glide meter in 1p."
"sound_glide_finish_out_of_glide_3p","string","0","Sound when player finishes glide by running out of glide meter in 3p."
"sound_jetpack_start_1p","string","0","Sound when player starts jetpack in 1p."
"sound_jetpack_start_3p","string","0","Sound when player starts jetpack in 3p."
"sound_jetpack_body_1p","string","0","Sound played while player is jetting in 1p. Sound is faded out when jetpack finishes."
"sound_jetpack_body_3p","string","0","Sound played while player is jetting in 3p. Sound is faded out when jetpack finishes."
"sound_jetpack_finish_1p","string","0","Sound when player finishes jetpack in 1p."
"sound_jetpack_finish_3p","string","0","Sound when player finishes jetpack in 3p."
"sound_jetpack_finish_out_of_fuel_1p","string","0","Sound when player finishes jetpack becase of out of fuel in 1p."
"sound_jetpack_finish_out_of_fuel_3p","string","0","Sound when player finishes jetpack because of out of fuel in 3p."
"sound_jetpack_afterburner_start_1p","string","0","Sound when player starts jetpack afterburners in 1p."
"sound_jetpack_afterburner_start_3p","string","0","Sound when player starts jetpack afterburners in 3p."
"sound_jetpack_afterburner_body_1p","string","0","Sound played while player is jetpacking with afterburners in 1p. Sound is faded out when jetpack finishes."
"sound_jetpack_afterburner_body_3p","string","0","Sound played while player is jetpacking with afterburners in 3p. Sound is faded out when jetpack finishes."
"sound_jetpack_afterburner_finish_1p","string","0","Sound when player finishes jetpack afterburners in 1p."
"sound_jetpack_afterburner_finish_3p","string","0","Sound when player finishes jetpack afterburners in 3p."
"sound_hover_start_1p","string","0","Sound when player starts hover in 1p."
"sound_hover_start_3p","string","0","Sound when player starts hover in 3p."
"sound_hover_body_1p","string","0","Sound played while player is hovering in 1p. Sound is faded out when hover finishes."
"sound_hover_body_3p","string","0","Sound played while player is hovering in 3p. Sound is faded out when hover finishes."
"sound_hover_finish_1p","string","0","Sound when player finishes hover in 1p."
"sound_hover_finish_3p","string","0","Sound when player finishes hover in 3p."
"sound_climb_start_1p","string","0","Sound when player starts climb in 1p."
"sound_climb_start_3p","string","0","Sound when player starts climb in 3p."
"sound_climb_body_1p","string","0","Sound played while player is climbing in 1p. Sound is faded out when climb finishes."
"sound_climb_body_3p","string","0","Sound played while player is climbing in 3p. Sound is faded out when climb finishes."
"sound_climb_finish_1p","string","0","Sound when player finishes climb in 1p."
"sound_climb_finish_3p","string","0","Sound when player finishes climb in 3p."
"sound_jetwash_start_1p","string","0","Initial sound emitted at boost pilot jetwash point in 1p."
"sound_jetwash_start_3p","string","0","Initial sound emitted at boost pilot jetwash point in 3p."
"sound_jetwash_body_1p","string","0","Looping sound emitted at boost pilot jetwash point in 1p."
"sound_jetwash_body_3p","string","0","Looping sound emitted at boost pilot jetwash point in 3p."
"sound_jetwash_finish_1p","string","0","Ending sound emitted at boost pilot jetwash point in 1p."
"sound_jetwash_finish_3p","string","0","Ending sound emitted at boost pilot jetwash point in 3p."
"sound_boost_meter_depleted_1p","string","0","Sound emitted when the boost pilot's meter has been fully depleated in 1p."
"sound_boost_meter_depleted_3p","string","0","Sound emitted when the boost pilot's meter has been fully depleated in 3p."
"sound_boost_meter_recharged_1p","string","0","Sound emitted when the boost pilot's meter has been fully recharged in 1p."
"sound_boost_meter_recharged_3p","string","0","Sound emitted when the boost pilot's meter has been fully recharged in 3p."
"sound_boost_meter_fail_1p","string","0","Sound emitted if the player attempts to boost while their meter is empty in 1p."
"sound_boost_meter_fail_3p","string","0","Sound emitted if the player attempts to boost while their meter is empty in 3p."
"sound_pain_layer1_start","string","0",""
"sound_pain_layer1_loop","string","0",""
"sound_pain_layer1_end","string","0",""
"sound_pain_layer2_start","string","0",""
"sound_pain_layer2_loop","string","0",""
"sound_pain_layer2_end","string","0",""
"sound_pain_layer3_start","string","0",""
"sound_pain_layer3_loop","string","0",""
"sound_pain_layer3_end","string","0",""
"sound_grapple_fire_1p","string","0","Sound emitted when the player fires a grapple in 1p."
"sound_grapple_fire_3p","string","0","Sound emitted when the player fires a grapple in 3p."
"sound_grapple_retract_1p","string","0","Sound emitted when the player retracts a grapple in 1p."
"sound_grapple_retract_3p","string","0","Sound emitted when the player retracts a grapple in 3p."
"sound_grapple_traverse_1p","string","0","Sound emitted when the player traverses a grapple in 1p."
"sound_grapple_traverse_3p","string","0","Sound emitted when the player traverses a grapple in 3p."
"sound_grapple_swing_1p","string","0","Sound emitted when the player swings on a grapple in 1p."
"sound_grapple_swing_3p","string","0","Sound emitted when the player swings on a grapple in 3p."
"sound_grapple_reel_in_target_1p","string","0","Sound emitted when the player reels in a grapple target in 1p."
"sound_grapple_reel_in_target_3p","string","0","Sound emitted when the player reels in a grapple target in 3p."
"sound_grapple_reset_1p","string","0","Sound emitted when the player resets a grapple in 1p."
"sound_grapple_reset_3p","string","0","Sound emitted when the player resets a grapple in 3p."
"player_sound_fallingEffects_1p","string","0","Sound when player is falling fast."
"sound_slide_prefix","string","0","Prefix for slide sounds"
"ui_targetinfo","string","0",""
"camera_lcd","asset_noprecache","0",""
"camera_lcdStartup","asset_noprecache","0",""
"headshotFX","string","0",""
"viewPunchSpring","string","0","View punch spring used for decay"
"generalClass","int","0","General class of the player"
"fov","float","0","Vision field of view (angle)"
"viewmodelfov","float","0","Vision field of view (angle) for viewmodel"
"viewmodelDuckOffset","float","0","Distance to translate the player's viewmodel up as they duck."
"speedScaleSide","float","0","Scales sideways movement speed"
"speedScaleBack","float","0","Scales backward movement speed"
"stepHeight","float","0","Height that can be stepped up automatically (for stairs)"
"stepTestDist","float","0","Steep slopes shorter than this will be ignored when stepping onto an object"
"physicsMass","float","0","Mass of the player for physics calculations"
"physicsIgnoreBelowMass","float","0","Mass below which physics objects don't affect the player"
"physicsSoftBelowMass","float","0","Mass below which physics objects use soft collision with the player (not real physics)"
"physicsPushMassLimit","float","0","Maximum mass the player can push"
"physicsPushSpeedLimit","float","0","Maximum speed the player can push physics objects"
"airSpeed","float","0","Max speed player can adjust to in the air"
"airAcceleration","float","0","Acceleration when in the air (units/sec/sec)"
"airFriction","float","0","Friction when in the air. Fraction of total speed lost per second."
"airDrag","float","0","Deceleration is proportional to the velocity squared. It is Air Friction that increases linearly with speed."
"impactSpeed","float","0","Collision velocity needed to consider it fast enough to play impact effects"
"modelScale","float","0","Scale value for the model used for the player character."
"health","float","0",""
"healthShield","float","0",""
"healthDoomed","float","0",""
"healthPerSegment","float","0",""
"powerRegenRate","float","0","Percentage of power recharged per second"
"armorType","int","0",""
"smartAmmoLockType","int","0",""
