"image","name"
"rui/promo/promo_00","canyonlands"
"rui/promo/promo_01","apex"
"rui/promo/promo_02","drop"
"rui/promo/promo_03","thunderdome"
"rui/promo/promo_05","lineup"
"rui/promo/promo_06","twospines"
"rui/promo/promo_starter","starter"
"rui/promo/promo_founder","founder"
"rui/promo/promo_access","access"
"rui/promo/twitch_promo","twitch"
"rui/promo/promo_error","error"
"rui/promo/mirage_leaning","Mirage Leaning"
"rui/promo/canyonlands_forest","canyonlands Forest"
"rui/promo/weapon_havok","Havok"
"rui/promo/gibraltar_milleniumtusk","Gibraltar Millenium Tusk"
"rui/promo/promo_xbox_access","Xbox EA Access"
"rui/promo/pathfinder_angelcity_pacer","Pathfinder Pacer Skin"
"rui/promo/character_select","Character Select"
"rui/promo/bloodhound_white","Bloodhound White"
"rui/promo/apex_title","Apex Title"
"rui/promo/twitch_promo","Twitch Promo"
"rui/promo/wraith_voidspecialist_legendary","Wraith Void Skin"
"rui/promo/promo_01","PlayStation Plus Pack #1"
"rui/promo/playstation_plus_pack2","playstation_plus_pack2"
"rui/promo/playstation_plus_pack3","playstation_plus_pack3"
"rui/promo/playstation_plus_pack4","playstation_plus_pack4"
"rui/promo/playstation_plus_pack5","playstation_plus_pack5"
"rui/promo/battlepass_skins","bpskins"
"rui/promo/seasonpasscontent","spcontent"
"rui/promo/wildfrontier_banner","frontier"
"rui/promo/apex_season01","season01"
"rui/promo/lstar_motd","lstar"
"rui/promo/lstar_event","lstar_event"
"rui/promo/twitchcon_rivals","twitchcon_rivals"
"rui/promo/lstar_adjusted","lstar_adjusted"
"rui/promo/double_normal_xp","double_normal_xp"
"rui/promo/double_xp","double_xp"
"rui/promo/mini/m_openpack","m_openpack"
"rui/promo/mini/m_apexcreds","m_apexcreds"
"rui/promo/mini/m_apexpacks","m_apexpacks"
"rui/promo/mini/m_bp","m_bp"
"rui/promo/mini/m_crafting","m_crafting"
"rui/promo/mini/m_general","m_general"
"rui/promo/mini/m_legend","m_legend"
"rui/promo/mini/m_love","m_love"
"rui/promo/mini/m_lstar","m_lstar"
"rui/promo/mini/m_new","m_new"
"rui/promo/mini/m_octane","m_octane"
"rui/promo/mini/m_wattson","m_wattson"
"rui/promo/mini/m_patch","m_patch"
"rui/promo/eaplay","eaplay"
"rui/promo/wraith_closeup","wraith_closeup"
"rui/promo/top5","top5"
"rui/promo/mirage_banner","mirage_banner"
"rui/promo/character_lineup","character_lineup"
"rui/promo/bh_store_week4","bh_store_week4"
"rui/promo/bh_store_week3","bh_store_week3"
"rui/promo/bh_store_week2","bh_store_week2"
"rui/promo/bh_store_week1","bh_store_week1"
"rui/promo/bh_event_details","bh_event_details"
"rui/promo/caustic_closeup","caustic_closeup"
"rui/promo/bp_rewards_bh","bp_rewards_bh"
"rui/promo/apex_season02","apex_season02"
"rui/promo/bp_skins_season02","bp_skins_season02"
"rui/promo/canyonlands_mapupdate","canyonlands_mapupdate"
"rui/promo/lifelines_drone","lifelines_drone"
"rui/promo/ranked","ranked"
"rui/promo/twitch_promo_02","twitch_promo_02"
"rui/promo/twitch_promo_03","twitch_promo_03"
"rui/promo/twitch_promo_04","twitch_promo_04"
"rui/promo/twitch_promo_05","twitch_promo_05"
"rui/promo/wattson_season02","wattson_season02"
"rui/promo/apex_title_blue","apex_title_blue"
"rui/promo/icce_event_store","icce_event_store"
"rui/promo/icce_event_store_02","icce_event_store_02"
"rui/promo/icce_event","icce_event"
"rui/promo/ltm_solo","ltm_solo"
