"lootType","perkType","perkName","perkDesc","perkCost","tier1UpgradeRef","tier2UpgradeRef","tier3UpgradeRef"
"helmet","PAS_EXEC_BONUS_HEALTH","#PAS_EXEC_BONUS_HEALTH","#PAS_EXEC_BONUS_HEALTH_DESC",500,"helmet_pickup_lv1_exechealth","helmet_pickup_lv2_exechealth","helmet_pickup_lv3_exechealth"
"helmet","PAS_EXEC_BONUS_AMMO","#PAS_EXEC_BONUS_AMMO","#PAS_EXEC_BONUS_AMMO_DESC",750,"helmet_pickup_lv1_execammo","helmet_pickup_lv2_execammo","helmet_pickup_lv3_execammo"
"helmet","PAS_EXEC_BONUS_ULT","#PAS_EXEC_BONUS_ULT","#PAS_EXEC_BONUS_ULT_DESC",1000,"helmet_pickup_lv1_execult","helmet_pickup_lv2_execult","helmet_pickup_lv3_execult"
"armor","PAS_REDUCED_COOLDOWN_TAC","#PAS_TATICAL_COOLDOWN","#PAS_TATICAL_COOLDOWN_DESC",500,"armor_pickup_lv1_tac","armor_pickup_lv2_tac","armor_pickup_lv3_tac"
"armor","PAS_REDUCED_COOLDOWN_ULT","#PAS_ULTIMATE_COOLDOWN","#PAS_ULTIMATE_COOLDOWN_DESC",750,"armor_pickup_lv1_ult","armor_pickup_lv2_ult","armor_pickup_lv3_ult"
"armor","PAS_REDUCED_COOLDOWNS_TAC_ULT","#PAS_COMBINED_COOLDOWN","#PAS_COMBINED_COOLDOWN_DESC",1000,"armor_pickup_lv1_both","armor_pickup_lv2_both","armor_pickup_lv3_both"
"backpack","PAS_SYRINGE_BONUS","#PAS_INJ","#PAS_INJ_DESC",500,"backpack_pickup_lv1_syr","backpack_pickup_lv2_syr","backpack_pickup_lv3_syr"
"backpack","PAS_HEALTH_BONUS_MED","#PAS_MED","#PAS_MED_DESC",750,"backpack_pickup_lv1_medium","backpack_pickup_lv2_medium","backpack_pickup_lv3_medium"
"backpack","PAS_HEALTH_BONUS_ALL","#PAS_MOR","#PAS_MOR_DESC",1000,"backpack_pickup_lv1_all","backpack_pickup_lv2_all","backpack_pickup_lv3_all"
"incapshield","PAS_DOWN_REGEN","#PAS_ADREN","#PAS_ADREN_DESC",500,"incapshield_pickup_lv1_regen","incapshield_pickup_lv2_regen","incapshield_pickup_lv3_regen"
"incapshield","PAS_DOWN_HEALTH","#PAS_RESUS","#PAS_RESUS_DESC",750,"incapshield_pickup_lv1_bonushealth","incapshield_pickup_lv2_bonushealth","incapshield_pickup_lv3_bonushealth"
"incapshield","PAS_SELF_REVIVE","#PAS_AVAT","#PAS_AVAT_DESC",1000,"incapshield_pickup_lv1_selfrevive","incapshield_pickup_lv2_selfrevive","incapshield_pickup_lv3_selfrevive"
"string","string","string","string","int","string","string","string"
