"gameMode","cardType","section","calcMethod","label","statRef","mathRef"
"battleroyale","career","header","simple","#STATS_CAREER_TOTAL_GAMES","CAREER_STATS.games_played",""
"battleroyale","career","header","simple","#STATS_CAREER_TOTAL_WINS","CAREER_STATS.placements_win",""
"battleroyale","career","header","simple","#STATS_CAREER_TOTAL_TOP5","CAREER_STATS.placements_top_5",""
"battleroyale","career","headertooltip","math_winrate","#STATS_CAREER_WINRATE_TOOLTIP","CAREER_STATS.placements_win","CAREER_STATS.games_played"
"battleroyale","career","body","simple","#STATS_CARD_DAMAGE_TOTAL","CAREER_STATS.damage_done",""
"battleroyale","career","body","season_character_highest","#STATS_CARD_DAMAGE_HIGHEST","CAREER_STATS.season_character_damage_done_max_single_game",""
"battleroyale","career","body","math_divide","#STATS_CARD_DAMAGE_AVG","CAREER_STATS.damage_done","CAREER_STATS.games_played"
"battleroyale","career","body","simple","#STATS_CARD_KILLS","CAREER_STATS.kills",""
"battleroyale","career","body","simple","#STATS_CARD_DEATHS","CAREER_STATS.deaths",""
"battleroyale","career","body","math_divide","#STATS_CARD_KDR","CAREER_STATS.kills","CAREER_STATS.deaths"
"battleroyale","career","body","simple","#STATS_CARD_KILLSTREAK_LONGEST","CAREER_STATS.kills_max_single_game",""
"battleroyale","career","body","simple","#STATS_CARD_KNOCKOUTS","CAREER_STATS.dooms",""
"battleroyale","career","body","simple","#STATS_CARD_ASSISTS","CAREER_STATS.assists",""
"battleroyale","career","body","simple","#STATS_CARD_WINSTREAK_LONGEST","CAREER_STATS.win_streak_longest",""
"battleroyale","career","body","simple","#STATS_CARD_TEAMMATES_REVIVED","CAREER_STATS.revived_ally",""
"battleroyale","career","body","simple","#STATS_CARD_TEAMMATES_RESPAWNED","CAREER_STATS.times_respawned_ally",""
"battleroyale","season","header","simple","#STATS_SEASON_TOTAL_GAMES","CAREER_STATS.season_games_played",""
"battleroyale","season","header","simple","#STATS_SEASON_TOTAL_WINS","CAREER_STATS.season_placements_win",""
"battleroyale","season","header","character_aggregate","#STATS_SEASON_TOTAL_TOP5","CAREER_STATS.season_character_placements_top_5",""
"battleroyale","season","headertooltip","math_winrate","#STATS_SEASON_WINRATE_TOOLTIP","CAREER_STATS.season_placements_win","CAREER_STATS.season_games_played"
"battleroyale","season","body","simple","#STATS_SEASON_TOTAL_DAMAGE","CAREER_STATS.season_damage_done",""
"battleroyale","season","body","character_highest","#STATS_CARD_DAMAGE_HIGHEST","CAREER_STATS.season_character_damage_done_max_single_game",""
"battleroyale","season","body","math_divide","#STATS_CARD_DAMAGE_AVG","CAREER_STATS.season_damage_done","CAREER_STATS.season_games_played"
"battleroyale","season","body","simple","#STATS_SEASON_TOTAL_KILLS","CAREER_STATS.season_kills",""
"battleroyale","season","body","simple","#STATS_CARD_DEATHS","CAREER_STATS.season_deaths",""
"battleroyale","season","body","math_divide","#STATS_CARD_KDR","CAREER_STATS.season_kills","CAREER_STATS.season_deaths"
"battleroyale","season","body","simple","#STATS_CARD_KILLSTREAK_LONGEST","CAREER_STATS.season_kills_max_single_game",""
"battleroyale","season","body","simple","#STATS_CARD_KNOCKOUTS","CAREER_STATS.season_dooms",""
"battleroyale","season","body","simple","#STATS_CARD_ASSISTS","CAREER_STATS.season_assists",""
"battleroyale","season","body","simple","#STATS_CARD_WINSTREAK_LONGEST","CAREER_STATS.season_win_streak_longest",""
"battleroyale","season","body","simple","#STATS_CARD_TEAMMATES_REVIVED","CAREER_STATS.season_revived_ally",""
"battleroyale","season","body","simple","#STATS_CARD_TEAMMATES_RESPAWNED","CAREER_STATS.season_times_respawned_ally",""
"battleroyale","rankedperiod","header","simple","#STATS_SEASON_TOTAL_GAMES","CAREER_STATS.rankedperiod_games_played",""
"battleroyale","rankedperiod","header","simple","#STATS_SEASON_TOTAL_WINS","CAREER_STATS.rankedperiod_placements_win",""
"battleroyale","rankedperiod","header","simple","#STATS_SEASON_TOTAL_TOP5","CAREER_STATS.rankedperiod_placements_top_5",""
"battleroyale","rankedperiod","headertooltip","math_winrate","#STATS_SEASON_WINRATE_TOOLTIP","CAREER_STATS.rankedperiod_placements_win","CAREER_STATS.rankedperiod_games_played"
"battleroyale","rankedperiod","body","simple","#STATS_SEASON_TOTAL_DAMAGE","CAREER_STATS.rankedperiod_damage_done",""
"battleroyale","rankedperiod","body","character_highest","#STATS_CARD_DAMAGE_HIGHEST","CAREER_STATS.rankedperiod_character_damage_done_max_single_game",""
"battleroyale","rankedperiod","body","math_divide","#STATS_CARD_DAMAGE_AVG","CAREER_STATS.rankedperiod_damage_done","CAREER_STATS.rankedperiod_games_played"
"battleroyale","rankedperiod","body","simple","#STATS_SEASON_TOTAL_KILLS","CAREER_STATS.rankedperiod_kills",""
"battleroyale","rankedperiod","body","simple","#STATS_CARD_DEATHS","CAREER_STATS.rankedperiod_deaths",""
"battleroyale","rankedperiod","body","math_divide","#STATS_CARD_KDR","CAREER_STATS.rankedperiod_kills","CAREER_STATS.rankedperiod_deaths"
"battleroyale","rankedperiod","body","simple","#STATS_CARD_KILLSTREAK_LONGEST","CAREER_STATS.rankedperiod_kills_max_single_game",""
"battleroyale","rankedperiod","body","simple","#STATS_CARD_KNOCKOUTS","CAREER_STATS.rankedperiod_dooms",""
"battleroyale","rankedperiod","body","simple","#STATS_CARD_ASSISTS","CAREER_STATS.rankedperiod_assists",""
"battleroyale","rankedperiod","body","simple","#STATS_CARD_WINSTREAK_LONGEST","CAREER_STATS.rankedperiod_win_streak_longest",""
"battleroyale","rankedperiod","body","simple","#STATS_CARD_TEAMMATES_REVIVED","CAREER_STATS.rankedperiod_revived_ally",""
"battleroyale","rankedperiod","body","simple","#STATS_CARD_TEAMMATES_RESPAWNED","CAREER_STATS.rankedperiod_times_respawned_ally",""
"arenas","career","header","simple","#STATS_CAREER_TOTAL_GAMES","CAREER_STATS.modes_games_played",""
"arenas","career","header","simple","#STATS_CAREER_TOTAL_WINS","CAREER_STATS.modes_placements_win",""
"arenas","career","header","math_winrate","#STATS_CAREER_TOTAL_WINRATE","CAREER_STATS.modes_placements_win","CAREER_STATS.modes_games_played"
"arenas","career","body","simple","#STATS_CARD_DAMAGE_TOTAL","CAREER_STATS.modes_damage_done",""
"arenas","career","body","simple","#STATS_CARD_DAMAGE_HIGHEST","CAREER_STATS.modes_damage_done_max_single_game",""
"arenas","career","body","math_divide","#STATS_CARD_DAMAGE_AVG","CAREER_STATS.modes_damage_done","CAREER_STATS.modes_games_played"
"arenas","career","body","simple","#STATS_CARD_KILLS","CAREER_STATS.modes_kills",""
"arenas","career","body","simple","#STATS_CARD_DEATHS","CAREER_STATS.modes_deaths",""
"arenas","career","body","math_divide","#STATS_CARD_KDR","CAREER_STATS.modes_kills","CAREER_STATS.modes_deaths"
