"stuckEntScriptName","mp_ability_void_ring","mp_weapon_bubble_bunker","mp_ability_echo_locator","mp_weapon_jump_pad","mp_ability_space_elevator_tac","mp_weapon_dirty_bomb","mp_weapon_grenade_emp","mp_weapon_throwingknife","riot_drill_spike","mp_weapon_cluster_bomb_launcher","mp_ability_debuff_zone","mp_ability_spike_strip","mp_ability_transport_portal"
"cover_wall","0","0","0","0","0","1","1","1","1","1","1","0","0"
"black_market","0","0","0","0","0","0","1","1","1","1","1","0","0"
"tesla_trap","0","0","0","0","0","0","1","1","1","1","0","0","0"
"trophy_system","0","0","0","0","0","0","0","1","1","1","0","0","0"
"al_shield_anchor","0","0","0","0","0","1","1","1","1","1","1","0","0"
"respawn_chamber","1","1","1","1","1","1","1","1","1","1","1","1","0"
"respawn_chamber_mobile","1","1","1","1","1","1","1","1","1","1","1","1","0"
"care_package","1","1","1","1","1","1","1","1","1","1","1","1","1"
"mounted_turret_placeable","0","0","0","0","0","0","1","1","1","1","1","0","0"
"death_totem","0","0","0","0","0","0","1","1","1","1","1","0","0"
"caustic_trap","0","0","0","0","0","1","1","1","1","1","1","1","0"
"deployable_medic","0","0","0","0","0","0","1","1","1","1","1","0","0"
"crypto_camera","0","0","0","0","0","0","0","0","1","1","0","0","0"
"LootDroneModel","0","0","0","0","0","0","1","1","1","1","0","0","0"
"LootRoller","0","0","0","0","0","0","1","1","1","1","0","0","0"
"next_zone_survey_beacon","0","0","0","0","0","0","1","1","1","1","1","0","0"
"enemy_survey_beacon","0","0","0","0","0","0","1","1","1","1","1","0","0"
"fr_target_flip","1","1","1","1","1","1","1","1","1","1","0","0","0"
"fr_target_fold","1","1","1","1","1","1","1","1","1","1","0","0","0"
"wreckingball_ball","1","1","1","1","1","1","1","1","1","1","0","0","0"
"amped_wall","0","0","0","0","0","1","1","1","1","1","1","0","0"
"deathboxFlyer","0","0","0","0","0","1","1","1","1","1","0","0","0"
"lootCreep","0","0","0","0","0","0","1","1","1","1","0","0","0"
"revShell","0","0","0","0","0","0","1","1","1","1","0","0","0"
"hover_vehicle","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"redeploy_balloon_inflatable","1","0","1","1","1","0","1","1","1","1","1","1","0"
"bubble_shield","0","0","0","0","1","0","1","1","1","1","1","0","0"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string"
