"name","alias","priority","perspective","canPlayIfSolo","radioDisplayName","team","radioIntercept","vduVideo","dialogue","voice","bucket"
"bc_loba_ltm_respawnBeaconUsed_01_01","diag_mp_loba_ltm_respawnbeaconused_3p_01_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_RESPAWNBEACONUSED_01_01","Loba","SHADOW_ARMY_LOBA_RESPAWNED"
"bc_loba_ltm_respawnBeaconUsed_01_02","diag_mp_loba_ltm_respawnbeaconused_3p_01_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_RESPAWNBEACONUSED_01_02","Loba","SHADOW_ARMY_LOBA_RESPAWNED"
"bc_loba_ltm_respawnBeaconUsed_02_01","diag_mp_loba_ltm_respawnbeaconused_3p_02_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_RESPAWNBEACONUSED_02_01","Loba","SHADOW_ARMY_LOBA_RESPAWNED"
"bc_loba_ltm_respawnBeaconUsed_02_02","diag_mp_loba_ltm_respawnbeaconused_3p_02_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_RESPAWNBEACONUSED_02_02","Loba","SHADOW_ARMY_LOBA_RESPAWNED"
"bc_loba_ltm_respawnBeaconUsed_03_01","diag_mp_loba_ltm_respawnbeaconused_3p_03_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_RESPAWNBEACONUSED_03_01","Loba","SHADOW_ARMY_LOBA_RESPAWNED"
"bc_loba_ltm_respawnBeaconUsed_03_02","diag_mp_loba_ltm_respawnbeaconused_3p_03_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_RESPAWNBEACONUSED_03_02","Loba","SHADOW_ARMY_LOBA_RESPAWNED"
"bc_loba_ltm_respawnBeaconUsed_04_01","diag_mp_loba_ltm_respawnbeaconused_3p_04_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_RESPAWNBEACONUSED_04_01","Loba","SHADOW_ARMY_LOBA_RESPAWNED"
"bc_loba_ltm_respawnBeaconUsed_04_02","diag_mp_loba_ltm_respawnbeaconused_3p_04_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_RESPAWNBEACONUSED_04_02","Loba","SHADOW_ARMY_LOBA_RESPAWNED"
"bc_loba_ltm_evacshipincoming_01_01","diag_mp_loba_ltm_evacShipIncoming_3p_01_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACSHIPINCOMING_01_01","Loba","SHADOW_ARMY_LOBA_EVAC_INCOMING"
"bc_loba_ltm_evacshipincoming_01_02","diag_mp_loba_ltm_evacShipIncoming_3p_01_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACSHIPINCOMING_01_02","Loba","SHADOW_ARMY_LOBA_EVAC_INCOMING"
"bc_loba_ltm_evacshipincoming_02_01","diag_mp_loba_ltm_evacShipIncoming_3p_02_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACSHIPINCOMING_02_01","Loba","SHADOW_ARMY_LOBA_EVAC_INCOMING"
"bc_loba_ltm_evacshipincoming_02_02","diag_mp_loba_ltm_evacShipIncoming_3p_02_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACSHIPINCOMING_02_02","Loba","SHADOW_ARMY_LOBA_EVAC_INCOMING"
"bc_loba_ltm_evacshipincoming_03_01","diag_mp_loba_ltm_evacShipIncoming_3p_03_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACSHIPINCOMING_03_01","Loba","SHADOW_ARMY_LOBA_EVAC_INCOMING"
"bc_loba_ltm_evacshipincoming_03_02","diag_mp_loba_ltm_evacShipIncoming_3p_03_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACSHIPINCOMING_03_02","Loba","SHADOW_ARMY_LOBA_EVAC_INCOMING"
"bc_loba_ltm_evacshipincoming_04_01","diag_mp_loba_ltm_evacShipIncoming_3p_04_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACSHIPINCOMING_04_01","Loba","SHADOW_ARMY_LOBA_EVAC_INCOMING"
"bc_loba_ltm_evacshipincoming_04_02","diag_mp_loba_ltm_evacShipIncoming_3p_04_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACSHIPINCOMING_04_02","Loba","SHADOW_ARMY_LOBA_EVAC_INCOMING"
"bc_loba_ltm_evacshiparrived_01_01","diag_mp_loba_ltm_evacshiparrived_3p_01_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACSHIPARRIVED_01_01","Loba","SHADOW_ARMY_LOBA_EVAC_ARRIVED"
"bc_loba_ltm_evacshiparrived_01_02","diag_mp_loba_ltm_evacshiparrived_3p_01_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACSHIPARRIVED_01_02","Loba","SHADOW_ARMY_LOBA_EVAC_ARRIVED"
"bc_loba_ltm_evacshiparrived_03_01","diag_mp_loba_ltm_evacshiparrived_3p_03_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACSHIPARRIVED_03_01","Loba","SHADOW_ARMY_LOBA_EVAC_ARRIVED"
"bc_loba_ltm_evacshiparrived_03_02","diag_mp_loba_ltm_evacshiparrived_3p_03_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACSHIPARRIVED_03_02","Loba","SHADOW_ARMY_LOBA_EVAC_ARRIVED"
"bc_loba_ltm_evacshiparrived_04_01","diag_mp_loba_ltm_evacshiparrived_3p_04_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACSHIPARRIVED_04_01","Loba","SHADOW_ARMY_LOBA_EVAC_ARRIVED"
"bc_loba_ltm_evacshiparrived_04_02","diag_mp_loba_ltm_evacshiparrived_3p_04_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACSHIPARRIVED_04_02","Loba","SHADOW_ARMY_LOBA_EVAC_ARRIVED"
