"featureFlag","name","alias","priority","perspective","canPlayIfSolo","legendFlavors","radioDisplayName","team","radioIntercept","vduVideo","dialogue"
"","diag_mp_rampart_tt_vendMachine_07","diag_mp_rampart_tt_vendMachine_07",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_08","diag_mp_rampart_tt_vendMachine_08",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_09","diag_mp_rampart_tt_vendMachine_09",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_10","diag_mp_rampart_tt_vendMachine_10",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_11","diag_mp_rampart_tt_vendMachine_11",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_12","diag_mp_rampart_tt_vendMachine_12",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_13","diag_mp_rampart_tt_vendMachine_13",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_14","diag_mp_rampart_tt_vendMachine_14",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_15","diag_mp_rampart_tt_vendMachine_15",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_19","diag_mp_rampart_tt_vendMachine_19",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_20","diag_mp_rampart_tt_vendMachine_20",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_21","diag_mp_rampart_tt_vendMachine_21",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_22","diag_mp_rampart_tt_vendMachine_22",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_23","diag_mp_rampart_tt_vendMachine_23",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_24","diag_mp_rampart_tt_vendMachine_24",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_25","diag_mp_rampart_tt_vendMachine_25",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_26","diag_mp_rampart_tt_vendMachine_26",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_27","diag_mp_rampart_tt_vendMachine_27",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_28","diag_mp_rampart_tt_vendMachine_28",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_29","diag_mp_rampart_tt_vendMachine_29",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_30","diag_mp_rampart_tt_vendMachine_30",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_31","diag_mp_rampart_tt_vendMachine_31",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_32","diag_mp_rampart_tt_vendMachine_32",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_33","diag_mp_rampart_tt_vendMachine_33",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_34","diag_mp_rampart_tt_vendMachine_34",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_35","diag_mp_rampart_tt_vendMachine_35",100,"",false,"","","",false,"",""
"","diag_mp_rampart_tt_vendMachine_36","diag_mp_rampart_tt_vendMachine_36",100,"",false,"","","",false,"",""
"","VendingMachine_VendComplete_Broadcast","VendingMachine_VendComplete_Broadcast",100,"",false,"","","",false,"",""
"string","string","string","int","string","bool","string","string","string","bool","asset_noprecache","string"
