"loadout","loadoutText","contents","exclusivityStyleWeapons","exclusivityStyleConsumables","exclusivityStyleEquipment"
"","","","","",""
"assault_loadout_1","#CONTROL_MARKSMAN_LOADOUT","","ALL","NONE","RARITY"
"","","mp_weapon_sniper","","",""
"","","mp_weapon_energy_shotgun_gold","","",""
"","","health_pickup_combo_large","","",""
"","","health_pickup_combo_small","","",""
"","","armor_pickup_lv2","","",""
"","","helmet_pickup_lv2","","",""
"","","incapshield_pickup_lv2","","",""
"string","string","string","string","string","string"
