"name","voice","condPlayer","condMap","alias","alwaysPlay","requireAddressee","dialogue","enableTimestamp","disableTimestamp","specialExt"
"","","","","// _bc_ aliases below must match miles events",false,false,"",0,0,""
"","","","","//_ping_ aliases below don't need to match (reference only) and no blank lines are allowed",false,false,"",0,0,""
"//bc_nextCircleFar   (disabled post se5)","caustic","wattson","","diag_mp_caustic_bc_nextCircleFar_condWattson_%perspective%",false,false,"",0,0,""
"//bc_reviveThanks (disabled for 9.0)","caustic","wattson","","diag_mp_caustic_bc_reviveThanks_condWattson_%perspective%",true,false,"",0,0,""
"//bc_revivingPlayer (disabled for 9.0)","caustic","wattson","","diag_mp_caustic_bc_revivingPlayer_condWattson_%perspective%",true,false,"",0,0,""
"//ping_fenceNeutral (disabled as of 7.2)","caustic","wattson","","diag_mp_caustic_ping_fenceNeutral_condWattson",true,false,"",0,0,""
"//ping_thanks  (disabled for 8.0)","caustic","wattson","","diag_mp_caustic_ping_thanks_condWattson",false,false,"",0,0,""
"//ping_thanks  (disabled for 8.0)","caustic","revenant","","diag_mp_caustic_ping_thanks_condRevenant",false,false,"",0,0,""
"//ping_youreWelcome  (disabled for 8.0)","caustic","revenant","","diag_mp_caustic_ping_youreWelcome_calm_condRevenant",true,false,"",0,0,""
"","","","","",false,false,"",0,0,""
"//bc_frag   (disabled 13.0)","lifeline","octane","","diag_mp_lifeline_bc_frag_condOctane_%perspective%",false,false,"",0,0,""
"bc_revivingPlayer","lifeline","octane","","diag_mp_lifeline_bc_revivingPlayer_condOctane_%perspective%",true,false,"",0,0,""
"//bc_twoSquaddiesLeft   (disabled 13.0)","lifeline","octane","","diag_mp_lifeline_bc_twoSquaddiesLeft_condOctane_%perspective%",false,false,"",0,0,""
"//ping_iWillJoin   (disabled 13.0)","lifeline","octane","","diag_mp_lifeline_ping_iWillJoin_calm_condOctane",false,false,"",0,0,""
"//ping_jumpPad   (disabled 13.0)","lifeline","octane","","diag_mp_lifeline_ping_jumpPad_calm_condOctane",false,false,"",0,0,""
"//ping_markerYes   (disabled 13.0)","lifeline","octane","","diag_mp_lifeline_ping_markerYes_calm_condOctane",true,false,"",0,0,""
"//ping_markerWait   (disabled 13.0)","lifeline","octane","","diag_mp_lifeline_ping_markerWait_calm_condOctane",true,false,"",0,0,""
"//ping_markerNo   (disabled 19.0)","lifeline","octane","","diag_mp_lifeline_ping_markerNo_calm_condOctane",true,false,"",0,0,""
"//ping_youreWelcome   (disabled 19.0)","lifeline","revenant","","diag_mp_lifeline_ping_youreWelcome_calm_condRevenant",true,false,"",0,0,""
"","","","","",false,false,"",0,0,""
"bc_cargoBotDamaged","mirage","pathfinder","","diag_mp_mirage_bc_cargoBotDamaged_condPathfinder_%perspective%",false,false,"",0,0,""
"//bc_objectiveLostSquad (disabled as of 6.1)","mirage","pathfinder","","diag_mp_mirage_bc_objectiveLostSquad_condPathfinder_%perspective%",false,false,"",0,0,""
"//bc_reviveThanks  (disabled as of 6.1)","mirage","pathfinder","","diag_mp_mirage_bc_reviveThanks_condPathfinder_%perspective%",true,false,"",0,0,""
"//bc_squadmateBecomesKillLeader    (disabled as of 6.0)","mirage","pathfinder","","diag_mp_mirage_bc_squadmateBecomesKillLeader_condPathfinder_%perspective%",false,true,"",0,0,""
"bc_reviveThanks","mirage","crypto","","diag_mp_mirage_bc_reviveThanks_condCrypto_%perspective%",true,false,"",0,0,""
"bc_droppingCarePack","mirage","crypto","","diag_mp_mirage_bc_droppingCarePack_condCrypto_%perspective%",false,false,"",0,0,""
"bc_iBecomeKillLeader","mirage","crypto","","diag_mp_mirage_bc_iBecomeKillLeader_condCrypto_%perspective%",false,false,"",0,0,""
"bc_revivingPlayer","mirage","crypto","","diag_mp_mirage_bc_revivingPlayer_condCrypto_%perspective%",true,false,"",0,0,""
"//ping_surveyBeacon (disabled as of 7.0)","mirage","pathfinder","","diag_mp_mirage_ping_surveyBeacon_calm_condPathfinder",false,false,"",0,0,""
"ping_exploreGoPlayer","mirage","crypto","","diag_mp_mirage_ping_exploreGoPlayer_condCrypto_calm",false,false,"",0,0,""
"ping_markerYes","mirage","crypto","","diag_mp_mirage_ping_markerYes_condCrypto_calm",true,false,"",0,0,""
"ping_markerWait","mirage","crypto","","diag_mp_mirage_ping_markerWait_condCrypto_calm",true,false,"",0,0,""
