"loadout","loadoutText","contents","exclusivityStyleWeapons","exclusivityStyleConsumables","exclusivityStyleEquipment"
"","","","","",""
"assault_loadout_1","#CONTROL_MARKSMAN_LOADOUT","","ALL","NONE","RARITY"
"","","mp_weapon_wingman_gold","","",""
"","","mp_weapon_3030_gold","","",""
"","","health_pickup_combo_large","","",""
"","","health_pickup_combo_small","","",""
"assault_loadout_2","#CONTROL_MARKSMAN_LOADOUT","","ALL","NONE","RARITY"
"","","mp_weapon_sniper","","",""
"","","mp_weapon_sentinel_gold","","",""
"","","health_pickup_combo_large","","",""
"","","health_pickup_combo_small","","",""
"assault_loadout_3","#CONTROL_MARKSMAN_LOADOUT","","ALL","NONE","RARITY"
"","","mp_weapon_sniper","","",""
"","","mp_weapon_wingman_gold","","",""
"","","health_pickup_combo_large","","",""
"","","health_pickup_combo_small","","",""
"string","string","string","string","string","string"
