"featureName","rowCount","columnCount","data0","data1","data2","data3","data4","data5","data6","data7","data8","data9","data10","data11","data12","data13","data14","data15","data16","data17","data18","data19"
"killValues",20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",0,0,12.6674,14.6561,15.8194,16.6447,17.285,17.808,18.2503,18.6334,18.9713,19.2736,19.5471,19.7967,20.0264,20.239,20.4369,20.6221,20.796,20.96,21.1151,21.2623
"",0,0,11.2743,13.0838,14.1423,14.8933,15.4759,15.9519,16.3543,16.7029,17.0104,17.2854,17.5342,17.7614,17.9703,18.1638,18.3439,18.5124,18.6707,18.8199,18.961,19.0949
"",0,0,10.0294,11.6759,12.6391,13.3224,13.8525,14.2856,14.6518,14.9689,15.2487,15.499,15.7254,15.9321,16.1222,16.2983,16.4622,16.6155,16.7595,16.8953,17.0237,17.1455
"",0,0,8.91727,10.4155,11.2919,11.9137,12.396,12.7901,13.1233,13.4119,13.6665,13.8942,14.1002,14.2883,14.4613,14.6215,14.7706,14.9101,15.0411,15.1647,15.2815,15.3924
"",0,0,7.92414,9.28738,10.0848,10.6506,11.0895,11.4481,11.7512,12.0139,12.2455,12.4527,12.6402,12.8113,12.9687,13.1145,13.2502,13.3771,13.4963,13.6088,13.7151,13.816
"",0,0,7.03758,8.27802,9.00363,9.51846,9.91779,10.2441,10.5199,10.7589,10.9697,11.1582,11.3288,11.4845,11.6277,11.7604,11.8838,11.9993,12.1078,12.2101,12.3069,12.3987
"",0,0,6.24645,7.37515,8.03539,8.50384,8.8672,9.16409,9.4151,9.63254,9.82433,9.9959,10.1511,10.2928,10.4231,10.5438,10.6561,10.7612,10.86,10.953,11.0411,11.1246
"",0,0,5.54074,6.56777,7.16854,7.59479,7.92542,8.19556,8.42396,8.62181,8.79633,8.95244,9.09366,9.22258,9.34118,9.45098,9.55321,9.64883,9.73866,9.82335,9.90346,9.97946
"",0,0,4.9115,5.846,6.39265,6.78051,7.08135,7.32716,7.53499,7.71501,7.87381,8.01586,8.14435,8.26166,8.36958,8.46949,8.56251,8.64952,8.73125,8.80832,8.88121,8.95036
"",0,0,4.35066,5.20098,5.69839,6.0513,6.32505,6.54871,6.73782,6.90163,7.04612,7.17537,7.29229,7.39903,7.49723,7.58814,7.67278,7.75195,7.82632,7.89644,7.96277,8.02569
"",0,0,3.85101,4.62473,5.07733,5.39846,5.64754,5.85106,6.02313,6.17218,6.30366,6.42127,6.52766,6.62478,6.71413,6.79685,6.87387,6.94591,7.01358,7.07738,7.13773,7.19499
"",0,0,3.40607,4.1101,4.52193,4.81413,5.04077,5.22595,5.38252,5.51815,5.63778,5.7448,5.8416,5.92998,6.01128,6.08655,6.15663,6.22218,6.28375,6.34181,6.39673,6.44882
"",0,0,3.01005,3.65066,4.02539,4.29126,4.49749,4.66599,4.80846,4.93187,5.04073,5.1381,5.22619,5.3066,5.38058,5.44907,5.51283,5.57248,5.62851,5.68133,5.7313,5.77871
"",0,0,2.65774,3.24064,3.58161,3.82354,4.01119,4.16451,4.29415,4.40644,4.50549,4.59409,4.67424,4.74741,4.81472,4.87705,4.93507,4.98934,5.04032,5.08839,5.13386,5.17699
"",0,0,2.34448,2.87487,3.18513,3.40526,3.57601,3.71552,3.83347,3.93565,4.02578,4.1064,4.17933,4.24591,4.30716,4.36387,4.41666,4.46604,4.51243,4.55617,4.59754,4.63679
"",0,0,2.06609,2.5487,2.83101,3.03132,3.18668,3.31363,3.42096,3.51393,3.59594,3.66929,3.73566,3.79624,3.85197,3.90357,3.9516,3.99654,4.03875,4.07855,4.11619,4.15191
"",0,0,1.81884,2.25797,2.51485,2.69711,2.83848,2.95399,3.05165,3.13625,3.21087,3.27762,3.338,3.39313,3.44384,3.49079,3.5345,3.57539,3.61379,3.65001,3.68426,3.71676
"",0,0,1.59936,1.99894,2.23268,2.39852,2.52715,2.63226,2.72112,2.7981,2.866,2.92673,2.98168,3.03184,3.07798,3.1207,3.16047,3.19768,3.23263,3.26558,3.29674,3.32631
"",0,0,1.40467,1.76825,1.98094,2.13184,2.24889,2.34452,2.42538,2.49542,2.5572,2.61247,2.66246,2.70811,2.75009,2.78896,2.82515,2.85901,2.89081,2.92079,2.94915,2.97605
"",0,0,1.23208,1.56291,1.75643,1.89374,2.00024,2.08726,2.16084,2.22457,2.28079,2.33108,2.37657,2.4181,2.4563,2.49167,2.5246,2.5554,2.58434,2.61162,2.63743,2.66191
"performanceScale",10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",0,0,0.63,0.76,0.83,0.87,0.91,0.93,0.95,0.96,0.98,0.99,1,1.01,1.01,1.02,1.02,1.03,1.03,1.04,1.04,1.05
"",0,0,0.52,0.65,0.73,0.77,0.82,0.84,0.86,0.88,0.89,0.92,0.92,0.93,0.94,0.94,0.95,0.96,0.97,0.97,0.98,0.99
"",0,0,0.41,0.55,0.62,0.67,0.72,0.74,0.76,0.79,0.8,0.82,0.83,0.84,0.85,0.85,0.86,0.87,0.88,0.89,0.9,0.91
"",0,0,0.3,0.44,0.52,0.57,0.61,0.64,0.66,0.69,0.7,0.72,0.73,0.74,0.75,0.75,0.77,0.78,0.79,0.8,0.81,0.81
"",0,0,0.18,0.33,0.42,0.46,0.5,0.53,0.55,0.58,0.6,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.71
"",0,0,0.08,0.23,0.31,0.36,0.4,0.43,0.45,0.47,0.49,0.51,0.53,0.54,0.54,0.56,0.57,0.58,0.59,0.59,0.6,0.61
