"mapCleanUpType","className","scriptName","editorClassName","checkType","variableName","calevent","negativeCheck"
0,"zipline","freedm_zipline","",1,"freedm","",true
0,"script_ref","","info_freedm_intro_camera",1,"freedm","",true
0,"script_ref","","info_freedm_airdrop_location",1,"freedm","",true
0,"func_brush","","func_brush_freedm_wall",1,"freedm","",true
1,"func_brush","func_brush_freedm_geo","",1,"freedm","",true
0,"script_ref","","info_arenas_defensive_end_location",0,"","",false
0,"script_ref","","info_arenas_airdrop_location",0,"","",false
0,"script_ref","","info_arenas_spawn_location",0,"","",false
0,"script_ref","","info_arenas_end_location",0,"","",false
0,"zipline","control_zipline","",3,"is_control_game","",true
0,"func_brush","func_brush_control_border","",3,"is_control_game","",true
0,"prop_script","Control_SetUsableVehicleBase","control_vehicle_summon_platform",3,"is_control_game","",true
0,"prop_dynamic","Control_FlagProp","control_flag_prop",3,"is_control_game","",true
0,"prop_dynamic","","control_gun_rack",3,"is_control_game","",true
0,"prop_dynamic","","control_gun_rack_panel",3,"is_control_game","",true
0,"func_brush","","func_brush_control_wall",3,"is_control_game","",true
0,"script_ref","control_skydive_launcher","script_skydive_launcher",3,"is_control_game","",true
0,"script_ref","","info_control_team_spawn_area",3,"is_control_game","",true
0,"trigger_multiple","control_trigger_homebase","",3,"is_control_game","",true
2,"prop_script","","control_vehicle_summon_platform",3,"is_control_game","",true
2,"prop_dynamic","","control_flag_prop",3,"is_control_game","",true
2,"prop_dynamic","","control_gun_rack",3,"is_control_game","",true
2,"prop_dynamic","","control_gun_rack_panel",3,"is_control_game","",true
2,"prop_dynamic","control_skydive_launcher","script_skydive_launcher",3,"is_control_game","",true
2,"func_brush","","func_brush_control_wall",3,"is_control_game","",true
1,"func_brush","func_control_geo","",3,"is_control_game","",true
0,"prop_script","","script_survival_next_zone_survey_beacon",3,"disable_all_perks","",false
0,"func_brush","goldenhorse_prop_func_group","",3,"is_golden_horse","",true
0,"trigger_multiple","","trigger_lockdown_objective",3,"freedm_treasure_hunt_active","",true
0,"func_brush","func_brush_lockdown_border","",3,"freedm_treasure_hunt_active","",true
0,"prop_script","ObjectiveBR_SetUsableVehicleBase","objectivebr_vehicle_summon_platform",0,"","",false
2,"prop_script","","objectivebr_vehicle_summon_platform",0,"","",false
"int","string","string","string","int","string","asset","bool"
