"loadout","loadoutText","contents","exclusivityStyleWeapons","exclusivityStyleConsumables","exclusivityStyleEquipment"
"","","","","",""
"","","","","",""
"blitz_loadout_1","#CONTROL_BLITZ_LOADOUT","","ALL","NONE","RARITY"
"","","mp_weapon_volt_smg_blueset","","",""
"","","mp_weapon_energy_shotgun_blueset","","",""
"","","health_pickup_combo_large","","",""
"","","health_pickup_combo_small","","",""
"","","mp_weapon_grenade_emp","","",""
"","","armor_pickup_lv2","","",""
"","","helmet_pickup_lv2","","",""
"","","incapshield_pickup_lv2","","",""
"","","","","",""
"blitz_loadout_2","#CONTROL_BLITZ_LOADOUT","","ALL","NONE","RARITY"
"","","mp_weapon_volt_smg_blueset","","",""
"","","mp_weapon_wingman_blueset","","",""
"","","health_pickup_combo_large","","",""
"","","health_pickup_combo_small","","",""
"","","mp_weapon_grenade_emp","","",""
"","","armor_pickup_lv2","","",""
"","","helmet_pickup_lv2","","",""
"","","incapshield_pickup_lv2","","",""
"","","","","",""
"blitz_loadout_3","#CONTROL_BLITZ_LOADOUT","","ALL","NONE","RARITY"
"","","mp_weapon_rspn101_blueset","","",""
"","","mp_weapon_energy_shotgun_blueset","","",""
"","","health_pickup_combo_large","","",""
"","","health_pickup_combo_small","","",""
"","","mp_weapon_grenade_emp","","",""
"","","armor_pickup_lv2","","",""
"","","helmet_pickup_lv2","","",""
"","","incapshield_pickup_lv2","","",""
"","","","","",""
"blitz_loadout_4","#CONTROL_BLITZ_LOADOUT","","ALL","NONE","RARITY"
"","","mp_weapon_energy_ar_blueset","","",""
"","","mp_weapon_mastiff_blueset","","",""
"","","health_pickup_combo_large","","",""
"","","health_pickup_combo_small","","",""
"","","mp_weapon_grenade_emp","","",""
"","","armor_pickup_lv2","","",""
"","","helmet_pickup_lv2","","",""
"","","incapshield_pickup_lv2","","",""
"","","","","",""
"blitz_loadout_5","#CONTROL_BLITZ_LOADOUT","","ALL","NONE","RARITY"
"","","mp_weapon_volt_smg_blueset","","",""
"","","mp_weapon_mastiff_blueset","","",""
"","","health_pickup_combo_large","","",""
"","","health_pickup_combo_small","","",""
"","","mp_weapon_grenade_emp","","",""
"","","armor_pickup_lv2","","",""
"","","helmet_pickup_lv2","","",""
"","","incapshield_pickup_lv2","","",""
"","","","","",""
"blitz_loadout_6","#CONTROL_BLITZ_LOADOUT","","ALL","NONE","RARITY"
"","","mp_weapon_car_blueset","","",""
"","","mp_weapon_energy_shotgun_blueset","","",""
"","","health_pickup_combo_large","","",""
"","","health_pickup_combo_small","","",""
"","","mp_weapon_grenade_emp","","",""
"","","armor_pickup_lv2","","",""
"","","helmet_pickup_lv2","","",""
"","","incapshield_pickup_lv2","","",""
"","","","","",""
"blitz_loadout_7","#CONTROL_BLITZ_LOADOUT","","ALL","NONE","RARITY"
"","","mp_weapon_rspn101_blueset","","",""
"","","mp_weapon_mastiff_blueset","","",""
"","","health_pickup_combo_large","","",""
"","","health_pickup_combo_small","","",""
"","","mp_weapon_grenade_emp","","",""
"","","armor_pickup_lv2","","",""
"","","helmet_pickup_lv2","","",""
"","","incapshield_pickup_lv2","","",""
"","","","","",""
