"weaponGroup","weaponRef","weight"
"crate","",0
"","mp_weapon_esaw_crate",1
"","mp_weapon_shotgun_crate",1
"","mp_weapon_sniper",1
"assault_rifle","",0
"","mp_weapon_hemlok_purpleset",1
"","mp_weapon_rspn101_purpleset",1
"","mp_weapon_vinson_purpleset",1
"","mp_weapon_energy_ar_gold",1
"","mp_weapon_nemesis_purpleset",1
"smg","",0
"","mp_weapon_alternator_smg_whiteset",1
"","mp_weapon_r97_blueset",1
"","mp_weapon_volt_smg_whiteset",1
"","mp_weapon_car_blueset",1
"","mp_weapon_pdw_whiteset",1
"lmg","",0
"","mp_weapon_lmg_blueset",2
"","mp_weapon_esaw_crate",1
"","mp_weapon_dragon_lmg_blueset",1
"","mp_weapon_lstar_blueset",1
"marksmen","",0
"","mp_weapon_g2_purpleset",1
"","mp_weapon_3030_gold",1
"","mp_weapon_doubletake_blueset",1
"shotguns","",0
"","mp_weapon_mastiff_whiteset",1
"","mp_weapon_energy_shotgun_whiteset",1
"","mp_weapon_shotgun_crate",1
"","mp_weapon_shotgun_pistol_purpleset",1
"snipers","",0
"","mp_weapon_sentinel_blueset",0
"","mp_weapon_dmr_blueset",1
"","mp_weapon_defender_blueset",0
"","mp_weapon_sniper",1
"pistol","",0
"","mp_weapon_wingman_blueset",1
"","mp_weapon_autopistol_blueset",1
"string","string","float"
