"loadout","loadoutText","contents","exclusivityStyleWeapons","exclusivityStyleConsumables","exclusivityStyleEquipment"
"","","","","",""
"assault_loadout_1","#WINTER_EXPRESS_LOADOUT_1","","ALL","NONE","RARITY"
"","","mp_weapon_rspn101_whiteset","","",""
"","","mp_weapon_shotgun_pistol_purpleset","","",""
"","","health_pickup_health_small","","",""
"","","health_pickup_health_large","","",""
"","","mp_weapon_frag_grenade","","",""
"","","armor_pickup_lv3","","",""
"","","helmet_pickup_lv1","","",""
"","","incapshield_pickup_lv1","","",""
"","","backpack_pickup_lv2","","",""
"","","","","",""
"assault_loadout_2","#WINTER_EXPRESS_LOADOUT_1","","ALL","NONE","RARITY"
"","","mp_weapon_hemlok_purpleset","","",""
"","","mp_weapon_energy_shotgun_whiteset","","",""
"","","health_pickup_health_small","","",""
"","","health_pickup_health_large","","",""
"","","mp_weapon_grenade_emp","","",""
"","","armor_pickup_lv3","","",""
"","","helmet_pickup_lv1","","",""
"","","incapshield_pickup_lv1","","",""
"","","backpack_pickup_lv2","","",""
"","","","","",""
"assault_loadout_3","#WINTER_EXPRESS_LOADOUT_1","","ALL","NONE","RARITY"
"","","mp_weapon_vinson_whiteset","","",""
"","","mp_weapon_semipistol_purpleset","","",""
"","","health_pickup_health_small","","",""
"","","health_pickup_health_large","","",""
"","","mp_weapon_frag_grenade","","",""
"","","armor_pickup_lv3","","",""
"","","helmet_pickup_lv1","","",""
"","","incapshield_pickup_lv1","","",""
"","","backpack_pickup_lv2","","",""
"","","","","",""
"assault_loadout_4","#WINTER_EXPRESS_LOADOUT_1","","ALL","NONE","RARITY"
"","","mp_weapon_energy_ar_blueset","","",""
"","","mp_weapon_shotgun_blueset","","",""
"","","health_pickup_health_small","","",""
"","","health_pickup_health_large","","",""
"","","mp_weapon_thermite_grenade","","",""
"","","armor_pickup_lv3","","",""
"","","helmet_pickup_lv1","","",""
"","","incapshield_pickup_lv1","","",""
"","","backpack_pickup_lv2","","",""
"","","","","",""
"blitz_loadout_1","#WINTER_EXPRESS_LOADOUT_2","","ALL","NONE","RARITY"
"","","mp_weapon_car_purpleset","","",""
"","","mp_weapon_wingman_whiteset","","",""
"","","health_pickup_health_small","","",""
"","","health_pickup_health_large","","",""
"","","mp_weapon_frag_grenade","","",""
"","","armor_pickup_lv3","","",""
"","","helmet_pickup_lv1","","",""
"","","incapshield_pickup_lv1","","",""
"","","backpack_pickup_lv2","","",""
"","","","","",""
"blitz_loadout_2","#WINTER_EXPRESS_LOADOUT_2","","ALL","NONE","RARITY"
"","","mp_weapon_volt_smg_blueset","","",""
"","","mp_weapon_shotgun_pistol_blueset","","",""
"","","health_pickup_health_small","","",""
