"bundle","base","base_item_cost"
"","",0
"equipment_bundle_1","incapshield_pickup_lv3",30
"","mp_ability_mobile_respawn_beacon",50
"","",0
"equipment_bundle_2","backpack_pickup_lv3",75
"","helmet_pickup_lv3",30
"","",0
"deadshot_bundle","highcal_mag_l3",35
"","optic_cq_hcog_bruiser",25
"","",0
"zombie_bundle","energy_mag_l3",35
"","laser_sight_l3",25
"","",0
"recoil_bundle","bullets_mag_l3",35
"","stock_tactical_l3",25
"","",0
"longshot_bundle","optic_sniper_variable",35
"","sniper_mag_l3",35
"","",0
"ammoeater_bundle","highcal_mag_l3",35
"","hopup_shield_breaker",45
"","",0
"shredder_bundle","barrel_stabilizer_l3",25
"","hopup_turbocharger",45
"","",0
"downrange_bundle","bullets_mag_l3",35
"","optic_ranged_aog_variable",30
"","",0
"closer_bundle","shotgun_bolt_l4",35
"","hopup_unshielded_dmg",45
"","",0
"sureshot_bundle","stock_sniper_l3",25
"","hopup_headshot_dmg",45
"","",0
"versatile_bundle","optic_ranged_hcog",30
"","stock_tactical_l3",25
"","",0
"health_bundle","health_pickup_health_large",20
"","",0
"shield_bundle","health_pickup_combo_large",20
"","",0
"ammo_bundle","bullet",10
"","special",10
"","shotgun",10
"","highcal",10
"","sniper",10
"","arrows",10
"","",0
"evo_bundle","evo_points",50
"","",0
"weapon_one","mp_weapon_hemlok",30
"weapon_two","mp_weapon_alternator_smg",30
"","",0
"banner_bundle","expired_banners",30
"care_package_bundle","next_care_package_drop_location",15
"string","string","int"
