"event","priority","blocksNextPriority","method","bodyType","alias_1p_victim_only","alias_3p_except_victim","alias_3p_attacker_only","alias_3p_except_attacker"
"death",105,false,"SE_GIB","NPC_PROWLER","","","",""
"death",105,false,"SE_GIB","NPC_SPECTRE","","","",""
"death",110,true,"SE_HEADSHOT_BULLET","NPC_SPECTRE","","","","Android.Light.BulletImpact_Headshot_3P_vs_3P"
"death",110,true,"SE_HEADSHOT_SHOTGUN","NPC_SPECTRE","","","","Android.Heavy.BulletImpact_Headshot_3P_vs_3P"
"death",110,true,"SE_HEADSHOT_TITAN","NPC_SPECTRE","","","","Android.Heavy.BulletImpact_Headshot_3P_vs_3P"
"death",120,true,"SE_EXECUTION","CLASS_BANSHEE","","","",""
"death",290,true,"SE_ANY","CLASS_BANSHEE","diag_mp_wraith_effort_deathCam_3p","diag_mp_wraith_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_BLOODHOUND","","","",""
"death",290,true,"SE_ANY","CLASS_BLOODHOUND","diag_mp_bloodhound_effort_deathCam_3p","diag_mp_bloodhound_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_GIBRALTER","","","",""
"death",290,true,"SE_ANY","CLASS_GIBRALTER","diag_mp_gibraltar_effort_deathCam_3p","diag_mp_gibraltar_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_LIFELINE","","","",""
"death",290,true,"SE_ANY","CLASS_LIFELINE","diag_mp_lifeline_effort_deathCam_3p","diag_mp_lifeline_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_PATHFINDER","","","",""
"death",290,true,"SE_ANY","CLASS_PATHFINDER","diag_mp_pathfinder_effort_deathCam_3p","diag_mp_pathfinder_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_MIRAGE","","","",""
"death",290,true,"SE_ANY","CLASS_MIRAGE","diag_mp_mirage_effort_deathCam_3p","diag_mp_mirage_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_BANGALORE","","","",""
"death",290,true,"SE_ANY","CLASS_BANGALORE","diag_mp_bangalore_effort_deathCam_3p","diag_mp_bangalore_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_CAUSTIC","","","",""
"death",290,true,"SE_ANY","CLASS_CAUSTIC","diag_mp_caustic_effort_deathCam_3p","diag_mp_caustic_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_OCTANE","","","",""
"death",290,true,"SE_ANY","CLASS_OCTANE","diag_mp_octane_effort_deathCam_3p","diag_mp_octane_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_WATTSON","","","",""
"death",290,true,"SE_ANY","CLASS_WATTSON","diag_mp_wattson_effort_deathCam_3p","diag_mp_wattson_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_CRYPTO","","","",""
"death",290,true,"SE_ANY","CLASS_CRYPTO","diag_mp_crypto_effort_deathCam_3p","diag_mp_crypto_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_REVENANT","","","",""
"death",290,true,"SE_ANY","CLASS_REVENANT","diag_mp_revenant_effort_deathCam_3p","diag_mp_revenant_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_LOBA","","","",""
"death",290,true,"SE_ANY","CLASS_LOBA","diag_mp_loba_effort_deathCam_3p","diag_mp_loba_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_RAMPART","","","",""
"death",290,true,"SE_ANY","CLASS_RAMPART","diag_mp_rampart_effort_deathCam_3p","diag_mp_rampart_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_HORIZON","","","",""
"death",290,true,"SE_ANY","CLASS_HORIZON","diag_mp_horizon_effort_deathCam_3p","diag_mp_horizon_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_FUSE","","","",""
"death",290,true,"SE_ANY","CLASS_FUSE","diag_mp_fuse_effort_deathCam_3p","diag_mp_fuse_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_VALKYRIE","","","",""
"death",290,true,"SE_ANY","CLASS_VALKYRIE","diag_mp_valkyrie_effort_deathCam_3p","diag_mp_valkyrie_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_SEER","","","",""
"death",290,true,"SE_ANY","CLASS_SEER","diag_mp_seer_effort_deathCam_3p","diag_mp_seer_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_ASH","","","",""
"death",290,true,"SE_ANY","CLASS_ASH","diag_mp_ash_effort_deathCam_3p","diag_mp_ash_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_MADMAGGIE","","","",""
"death",290,true,"SE_ANY","CLASS_MADMAGGIE","diag_mp_madmaggie_effort_deathCam_3p","diag_mp_madmaggie_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_NEWCASTLE","","","",""
"death",290,true,"SE_ANY","CLASS_NEWCASTLE","diag_mp_newcastle_effort_deathCam_3p","diag_mp_newcastle_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_VANTAGE","","","",""
"death",290,true,"SE_ANY","CLASS_VANTAGE","diag_mp_vantage_effort_deathCam_3p","diag_mp_vantage_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_CATALYST","","","",""
"death",290,true,"SE_ANY","CLASS_CATALYST","diag_mp_catalyst_effort_deathCam_3p","diag_mp_catalyst_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_BALLISTIC","","","",""
"death",290,true,"SE_ANY","CLASS_BALLISTIC","diag_mp_ballistic_effort_deathCam_3p","diag_mp_ballistic_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_CONDUIT","","","",""
"death",290,true,"SE_ANY","CLASS_CONDUIT","diag_mp_conduit_effort_deathCam_3p","diag_mp_conduit_effort_death_3p","",""
"death",120,true,"SE_EXECUTION","CLASS_ALTER","","","",""
"death",290,true,"SE_ANY","CLASS_ALTER","diag_mp_alter_effort_deathCam_3p","diag_mp_alter_effort_death_3p","",""
"death",290,true,"SE_TITAN_STEP","PLAYER_HUMAN_MALE","","titan_grunt_squish","",""
"death",290,true,"SE_TITAN_STEP","PLAYER_HUMAN_MALE","diag_efforts_DeathCrush_sp_cooper_3p_vs_1p","diag_efforts_DeathCrush_mp_maleHuman_3p","",""
"pain",400,false,"SE_ANY","PLAYER_HUMAN_MALE","diag_efforts_hits_sp_cooper_3p_vs_1p","","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_BANSHEE","diag_mp_wraith_effort_painFire_1p","diag_mp_wraith_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_BANSHEE","diag_mp_wraith_effort_cough_1p","diag_mp_wraith_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_BANSHEE","diag_mp_wraith_effort_pain_1p","diag_mp_wraith_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_BLOODHOUND","diag_mp_bloodhound_effort_painFire_1p","diag_mp_bloodhound_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_BLOODHOUND","diag_mp_bloodhound_effort_cough_1p","diag_mp_bloodhound_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_BLOODHOUND","diag_mp_bloodhound_effort_pain_1p","diag_mp_bloodhound_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_GIBRALTER","diag_mp_gibraltar_effort_painFire_1p","diag_mp_gibraltar_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_GIBRALTER","diag_mp_gibraltar_effort_cough_1p","diag_mp_gibraltar_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_GIBRALTER","diag_mp_gibraltar_effort_pain_1p","diag_mp_gibraltar_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_LIFELINE","diag_mp_lifeline_effort_painFire_1p","diag_mp_lifeline_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_LIFELINE","diag_mp_lifeline_effort_cough_1p","diag_mp_lifeline_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_LIFELINE","diag_mp_lifeline_effort_pain_1p","diag_mp_lifeline_effort_pain_3p","",""
