"attachmentName","attachmentPoint","mp_weapon_sniper","mp_weapon_mastiff","mp_weapon_lstar","mp_weapon_energy_ar","mp_weapon_rocket_launcher","mp_weapon_esaw","mp_weapon_doubletake","mp_weapon_vinson","mp_weapon_hemlok","mp_weapon_g2","mp_weapon_alternator_smg","mp_weapon_r97","mp_weapon_pdw","mp_weapon_volt_smg","mp_weapon_dmr","mp_weapon_defender_old","mp_weapon_defender","mp_weapon_lmg","mp_weapon_rspn101","mp_weapon_shotgun","mp_weapon_shotgun_pistol","mp_weapon_wingman","mp_weapon_semipistol","mp_weapon_autopistol","mp_weapon_energy_shotgun","mp_weapon_sentinel","mp_weapon_bow","mp_weapon_3030","mp_weapon_dragon_lmg","mp_weapon_car","mp_weapon_nemesis"
"optic_cq_hcog_classic","sight",false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
"optic_cq_hcog_bruiser","sight",false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
"optic_cq_holosight","sight",false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
"optic_cq_holosight_variable","sight",false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
"optic_cq_threat","sight",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"optic_ranged_hcog","sight",false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,true,true,true,true,false,false,false,false,false,false,true,true,true,true,false,true
"optic_ranged_aog_variable","sight",false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,true,true,true,true,false,false,false,false,false,false,true,false,true,true,false,true
"optic_sniper","sight",false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false
"optic_sniper_variable","sight",false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false
"optic_sniper_threat","sight",false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false
"laser_sight_l1","barrel",false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false
