"category","rotationStyle","exclusivityStyle","slots","bundlesList"
"attachment","daily","rarity",2,"deadshot_bundle zombie_bundle recoil_bundle longshot_bundle ammoeater_bundle shredder_bundle downrange_bundle versatile_bundle sureshot_bundle closer_bundle"
"equipment","weekly","rarity",2,"equipment_bundle_1  equipment_bundle_2"
"weapon_one","seasonal","floor",1,"weapon_one"
"weapon_two","seasonal","floor",1,"weapon_two"
"health_pickup","permanent","none",1,"health_bundle"
"shield_pickup","permanent","none",1,"shield_bundle"
"ammo","loadout_based","none",1,"ammo_bundle"
"evo","permanent","none",1,"evo_bundle"
"banner","perk","none",1,"banner_bundle"
"string","string","string","int","string"
