"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"calevents","array_dynamic","0",""
"ranked2Pt0Periods","array_dynamic","1",""
"entitlements","array_dynamic","2",""
"characters","array_dynamic","3",""
"weapons","array_dynamic","4",""
"meleeWeapons","array_dynamic","5",""
"weaponCategories","array_dynamic","6",""
"loadscreens","array_dynamic","7",""
"images2D","array_dynamic","8",""
"musicPacks","array_dynamic","9",""
"diveTrails","array_dynamic","10",""
"stickers","array_dynamic","11",""
"vouchers","array_dynamic","12",""
"packs","array_dynamic","13",""
"currencyBundles","array_dynamic","14",""
"apexCoinAmounts","array_dynamic","15",""
"pings","array_dynamic","16",""
"clubLogoElements","array_dynamic","17",""
"clubSearchTags","array_dynamic","18",""
"beginnerChallenges","array_dynamic","19",""
"classes","array_dynamic","20",""
"battlepassPresaleVouchers","array_dynamic","21",""
"battlepassPurchasableXP","array_dynamic","22",""
"boostTypes","array_dynamic","23",""
"boostEvents","array_dynamic","24",""
"eventAbilities","array_dynamic","25",""
"keplerScenarios","array_dynamic","26",""
"rewardSetTrackers","array_dynamic","27",""
"challengeTiles","array_dynamic","28",""
