"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"grxMode","string","0","Specify what kind of item this is in the GRX backend (essentially MTX/EA Marketplace). Note that you can specify this without adding it to marketplace (it will be a warning but the game will run)."
"grxRef","string","0","The string ref used for communicating with EA Marketplace. DO NOT ADD A NEW STRING OR EDIT THIS STRING WITHOUT TALKING TO XANDER!!!"
"ownershipTarget","asset","0",""
"artifactComponentType","string","0",""
"themeName","string","0",""
"componentIcon","asset_noprecache","0",""
"multipleOwnershipTargets","array_dynamic","0",""
"artifactMainColor","float3","0",""
"artifactSecondaryColor","float3","0",""
"smearColor","float3","0",""
"skinIdx","int","0","The index for the skin"
"attackFX","array_dynamic","1","A collection of things that define a Power Source FX Package"
"idleFX","array_dynamic","2","A collection of things that define a Power Source FX Package"
"startupFX","array_dynamic","3","A collection of things that define a Power Source FX Package"
"flourishFX","array_dynamic","4","A collection of things that define a Power Source FX Package"
"inspectFX","array_dynamic","5","A collection of things that define a Power Source FX Package"
"lobbyFX","array_dynamic","6","A collection of things that define a Power Source FX Package"
"skinAlias_sfxAliases","array_dynamic","7","A list of SFX Aliases for animations on weapons that use this power core."
"skinAlias_impactTableAliases","array_dynamic","8","A list of Impact Table Aliases for animations on weapons that use this power core."
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"isEmpty","bool","0",""
"shouldHideIfLocked","bool","0","If checked this item will not appear in menus while locked"
