"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"revealUnixTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_reveal_time"
"hideUnixTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_hide_time"
"defaultStartTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_start_time"
"defaultFinishTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_finish_time"
"gameMode","string","0","The game mode to be played in order to progress through the Cup."
"gracePeriodTime","string","0","The timestamp for when cup games will no longer be counted, leaderboards will finalise and rewards can be granted."
"rankedRumbleBadge","asset","0",""
"rankedPeriod","asset","0",""
"reRollToken","asset","0",""
"placementPoints","asset","0",""
"rewardSeqName","string","0","The Reward Sequence to grant rewards against"
"squadSize","int","0","The Size of the Squad to be entered into the cup"
"numMatches","int","0","The number of Cup matches needed to play to complete the Cup"
"maxReRollCount","int","0","The maximum times a squad is able to re-roll their score in a cup."
"statPoints","array_dynamic","0","Stat Points"
"cups","array_dynamic","1","Cups"
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"is_ranked_rumble","bool","0","Determines whether this is a ranked rumble event"
