"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"revealUnixTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_reveal_time"
"hideUnixTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_hide_time"
"defaultStartTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_start_time"
"defaultFinishTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_finish_time"
"headerIcon","asset_noprecache","0",""
"mainChallengeFlav","asset","0",""
"eventChallengeHeaderImage","asset_noprecache","0",""
"eventChallengeButtonImage","asset_noprecache","0",""
"eventChallengeButtonText","string","0","display text on Lobby button. Leave blank to default to #CHELLENGES_PRIZE_TRACKER - 'View Prize Tracker'"
"aboutPageBGImage","asset_noprecache","0",""
"aboutPageBigIcon","asset_noprecache","0",""
"aboutPageBarImage","asset_noprecache","0",""
"aboutPageUnownedRewardBorderImage","asset_noprecache","0",""
"aboutPageOwnedRewardBorderImage","asset_noprecache","0",""
"aboutPageLineImage","asset_noprecache","0",""
"aboutPageTitleText","string","0",""
"aboutPageDescText","string","0",""
"aboutPageScoreTitleText","string","0",""
"highlightGamemodeSelectorSlot","string","0","If filled in, this will highlight the slot in the gamemode selector when event is active"
"bonusChallengeFlavs","array_dynamic","0",""
"dailyChallengeFlavs","array_dynamic","1",""
"hiddenChallengeFlavs","array_dynamic","2","These challenges are NOT shown to players. Use these to award Badges or other rewards via GRX."
"modes","array_dynamic","3",""
"badgeFlavs","array_dynamic","4",""
"eventChallengeHeaderColor1","float3","0",""
"eventChallengeHeaderColor2","float3","0",""
"eventChallengeButtonTextColor","float3","0",""
"eventChallengeCategoryButtonTint","float3","0",""
"progressBarColor","float3","0",""
"progressBarTextColor","float3","0",""
"rewardIconColor","float3","0",""
"aboutPageBGCol","float3","0",""
"aboutPageHeaderTextCol","float3","0",""
"aboutPageBodyTextCol","float3","0",""
"aboutPageScoreLabelCol","float3","0",""
"aboutPageScoreCol","float3","0",""
"aboutPageThemeCol","float3","0",""
"aboutPageBarTextCol","float3","0",""
"aboutPageBarTextOwnedCol","float3","0",""
"aboutPageCheckMarkCol","float3","0",""
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"aboutPageShowsModes","bool","0",""
