"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"revealUnixTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_reveal_time"
"hideUnixTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_hide_time"
"defaultStartTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_start_time"
"defaultFinishTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_finish_time"
"frontPageRewardBoxTitle","string","0",""
"collectionName","string","0",""
"mainPackFlav","asset","0",""
"mainPackShortPluralName","string","0",""
"mainPackImage","asset_noprecache","0",""
"heirloomButtonImage","asset_noprecache","0",""
"prestigeButtonImage2","asset_noprecache","0",""
"prestigeButtonImage3","asset_noprecache","0",""
"completionSequenceName","string","0",""
"completionRewardPack","asset","0",""
"primaryCompletionRewardItem","asset","0",""
"heirloomUnlockDesc","string","0",""
"frontGRXOfferLocation","string","0",""
"storeEventSectionMainImage","asset_noprecache","0",""
"storeEventSectionMainText","string","0",""
"storeEventSectionSubText","string","0",""
"lobbyButtonImage","asset_noprecache","0",""
"leftSideImage","asset_noprecache","0",""
"centerImage","asset_noprecache","0",""
"rightSideImage","asset_noprecache","0",""
"centerRuiAsset","string","0",""
"mainIcon","asset_noprecache","0",""
"headerIcon","asset_noprecache","0",""
"bgPatternImage","asset_noprecache","0",""
"bgTabPatternImage","asset_noprecache","0",""
"collectionEventMainIcon","asset_noprecache","0",""
"collectionLeftCornerHeaderBg","asset_noprecache","0",""
"chaseItemBG","asset_noprecache","0",""
"collectionGridBG","asset_noprecache","0",""
"rightBG","asset_noprecache","0",""
"chaseItemFrame","asset_noprecache","0",""
"loginRewards","array_dynamic","0",""
"challenges","array_dynamic","1",""
"rewardGroups","array_dynamic","2",""
"mainThemeCol","float3","0",""
"frontPageBGTintCol","float3","0",""
"frontPageTitleCol","float3","0",""
"frontPageSubtitleCol","float3","0",""
"frontPageTimeRemainingCol","float3","0",""
"aboutPageSpecialTextCol","float3","0",""
"aboutTextStandard","array_dynamic","3",""
"aboutTextRestricted","array_dynamic","4",""
"imageUnselectedAlpha","float","0",""
"imageSelectedAlpha","float","0",""
"tabTextDefaultCol","float3","0",""
"tabBGFocusedCol","float3","0",""
"tabBarFocusedCol","float3","0",""
"tabTextFocusedCol","float3","0",""
"tabGlowFocusedCol","float3","0",""
"tabBGSelectedCol","float3","0",""
"tabBarSelectedCol","float3","0",""
"tabTextSelectedCol","float3","0",""
"collectionLeftPanelTitleColor","float3","0",""
"collectionLeftPanelEventNameColor","float3","0",""
"collectionLeftPanelTimeRemainingColor","float3","0",""
"chaseItemProgressBarBorderColor","float3","0",""
"chaseItemProgressBarColor","float3","0",""
"chaseItemProgressBarBGColor","float3","0",""
"collectionLeftCornerHeaderBGDarkening","float","0",""
"chaseItemBGDarkening","float","0",""
"collectionGridBGDarkening","float","0",""
"rightBGDarkening","float","0",""
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"isPrestigeSkin","bool","0",""
"awardHeirloomShards","bool","0",""
"themeLobby","bool","0",""
"collectionLeftCornerHeaderBgBlur","bool","0","Draw the blur behind this element"
"chaseItemBGBlur","bool","0","Draw the blur behind this element"
"collectionGridBGBlur","bool","0","Draw the blur behind this element"
"rightBGBlur","bool","0","Draw the blur behind this element"
