"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"revealUnixTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_reveal_time"
"hideUnixTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_hide_time"
"defaultStartTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_start_time"
"defaultFinishTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_finish_time"
"mainChallengeFlav","asset","0",""
"eventShopCurrencyFlav","asset","0",""
"eventShopCurrencyVoucherFlav","asset","0",""
"eventShopCurrencyRewardSequence","string","0","The reward sequence in marketplace for the player's earned currency. Should be found the event branch's account attributes."
"eventShopTotalCurrencyPersistenceVar","string","0","The persistence variable for tracking the players total event currency. Should be found in persistent_player_data.pdef."
"eventShopTotalCurrencyStat","string","0","The stat used to track the total amount of event currency accured by the player. Should be found in sh_stats and pdef autogen."
"eventShopButtonText","string","0","Replaces the default 'Event Shop' text on the button & challenge category"
"rewardsLocString","string","0",""
"gridLocString","string","0",""
"sweepstakesPrizeImage","asset_noprecache","0","This image will be shown in the Sweepstakes Purchase Flow and Sweepstakes Rules Modal. The dimensions should be kept as 728 width x 420 height or larger in that aspect ratio."
"eventShopGRXOfferLocation","string","0",""
"eventShopGridToolTipBodyText","string","0",""
"eventShopGridToolTipBodySetsText","string","0",""
"eventShopGridToolTipBodyInsufficientText","string","0",""
"eventShopGridToolTipSubtitleDailyLimitText","string","0",""
"eventShopGridToolTipCounterAvailableText","string","0",""
"eventShopGridToolTipCounterDailyLimitText","string","0",""
"eventShopGridToolTipBodySweepstakesText","string","0",""
"eventShopGridToolTipBody2Text","string","0",""
"eventMainIcon","asset_noprecache","0",""
"leftCornerHeaderBg","asset_noprecache","0",""
"introPagePanelBg","asset_noprecache","0",""
"eventShopLobbyButtonImage","asset_noprecache","0",""
"eventShopLobbyHeaderBackgroundImage","asset_noprecache","0",""
"rightPanelBg","asset_noprecache","0",""
"eventShopPageItemsBg","asset_noprecache","0",""
"eventShopCurrencyProgression","int","0","Origin of the currency that drives the tier progress and available to redeem items on the grid. \n\nGameplay: In-game actions increase your front end currency. No deep link to a challenge tab. If there are no story unlocks on badges, inspecting a badge just has a close button. \n\nChallenges: deep link from the rewards grid to the challenges tab. If there are no story unlocks on badges, inspecting a badge provides a deep link to the challenges tab."
"dailyChallengeFlavs","array_dynamic","0",""
"eventChallengeFlavs","array_dynamic","1",""
"badgeFlavs","array_dynamic","2","Reward shop can offer one reward (item flavor) + one badge per tier. This will be shown in the dialog. Each badge represents one tier."
"rewardFlavs","array_dynamic","3","Reward shop can offer one reward (item flavor) + one badge per tier. This will be shown in the dialog. Each reward represents one tier."
"offerFlavs","array_dynamic","4","Replicate the same offers in the Marketplace. These offers here have more information than the assets coming from Marketplace."
"tutorialItems","array_dynamic","5","This section define the title, description and image used for the tutorial of how to obtain event currency."
"radioPlayFlavs","array_dynamic","6",""
"leftCornerHeaderBGDarkening","float","0",""
"eventShopBarsColor","float3","0",""
"eventShopLinesColor","float3","0",""
"eventShopLeftPanelTitleColor","float3","0",""
"eventShopLeftPanelEventNameColor","float3","0",""
"eventShopLeftPanelTimeRemainingColor","float3","0",""
"eventShopTooltipsColor","float3","0",""
"rightPanelBgColor","float3","0",""
"rightPanelOpacity","float","0",""
"leftPanelOpacity","float","0",""
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"showEventChallengesInLobby","bool","0","If this is selected we will attempt to display these challenges in the lobby."
"isWeeklyRotatingOffers","bool","0","Set to true if offers rotate weekly"
"leftCornerHeaderBgBlur","bool","0","Draw the blur behind this element"
"rightPanelBgBlur","bool","0","Draw the blur behind this element"
"leftPanelBlur","bool","0","Draw the blur behind this element"
