"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"revealUnixTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_reveal_time"
"hideUnixTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_hide_time"
"defaultStartTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_start_time"
"defaultFinishTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_finish_time"
"eventIcon","asset_noprecache","0",""
"milestoneEventDescription","string","0",""
"milestoneEventDescriptionRestricted","string","0",""
"milestoneEventKeyArt","asset_noprecache","0",""
"mainPackFlav","asset","0",""
"guaranteedPackFlav","asset","0",""
"mainPackShortPluralName","string","0",""
"mainPackImage","asset_noprecache","0",""
"chaseItemButtonImage","asset_noprecache","0",""
"chaseItemUnlockDesc","string","0",""
"chaseItemUnlockDescRestrict","string","0",""
"frontGRXOfferLocation","string","0",""
"restrictedGRXOfferLocation","string","0",""
"storeEventSectionMainImage","asset_noprecache","0",""
"storeEventSectionMainText","string","0",""
"storeEventSectionSubText","string","0",""
"eventMilestonePackRatesHeader","string","0","If not supplied, will default to 'Event Items'"
"milestonePackOriginalPrice","string","0",""
"milestonePackCraftingPrice","string","0",""
"milestoneGuaranteedPackText","string","0",""
"packInfoModalHeaderText","string","0",""
"packInfoDetailsText1","string","0",""
"packInfoDetailsText2","string","0",""
"packInfoDetailsText3","string","0",""
"packInfoDetailsText4","string","0",""
"eventItemRatesHeader","string","0",""
"eventItemRatesLine1","string","0",""
"eventItemRatesLine2","string","0",""
"eventItemRatesLine3","string","0",""
"standardItemRatesHeader","string","0",""
"standardItemRatesLine1","string","0",""
"milestoneCollectionBoxBgImage","asset_noprecache","0",""
"milestoneCollectionBoxBlurImage","asset_noprecache","0","The image asset that will be used to supply the blur to the Milestone Collection Box"
"milestoneTrackerBoxBgImage","asset_noprecache","0",""
"milestoneTrackerBlurImage","asset_noprecache","0","The image asset that will be used to supply the blur to the Milestone Tracker Box"
"milestoneInfoBoxBgImage","asset_noprecache","0",""
"milestoneInfoBoxBlurImage","asset_noprecache","0","The image asset that will be used to supply the blur to the Milestone Info Box"
"titleHeaderText","string","0","Header text for the title widget"
"titleSubheaderText","string","0","Subheader text for the title widget"
"titleMainIcon","asset_noprecache","0",""
"titleBlurImage","asset_noprecache","0",""
"titleBgImage","asset_noprecache","0",""
"featuredItems","array_dynamic","0",""
"milestoneGroups","array_dynamic","1",""
"restrictedMilestoneGroups","array_dynamic","2","Rewards to be granted for countries that have pack offers restricted."
"rewardGroups","array_dynamic","3",""
"restrictedRewardGroups","array_dynamic","4",""
"eventMilestonePackRatesRows","array_dynamic","5",""
"standardMilestonePackRatesRows","array_dynamic","6",""
"multiMilestonePackRatesRows","array_dynamic","7",""
"milestonePackPrices","array_dynamic","8",""
"milestonePackLeftInfoText","array_dynamic","9",""
"milestonePackRightInfoText","array_dynamic","10",""
"titleCol","float3","0",""
"titleBackCol","float3","0",""
"fullscreenBgDarkeningOpacity","float","0","The opacity of the background darkener"
"titleMilestoneCol","float3","0",""
"milestoneDisclaimerBoxCol","float3","0",""
"milestoneTrackerProgressBarCol","float3","0",""
"milestoneTrackerProgressBarBGCol","float3","0",""
"aboutTextStandard","array_dynamic","11",""
"aboutTextRestricted","array_dynamic","12",""
"titleBgDarkening","float","0","The opacity of the background darkener"
"titleHeaderColor","float3","0","Header Color for the title widget"
"titleSubheaderColor","float3","0","Subheader Color for the title widget"
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"isStoreOnlyMilestoneEvent","bool","0","If checked, this milestone event will appear in the Milestone Events section of the store and NOT in the Events Page."
"milestoneCollectionBoxUseBgBlur","bool","0","If checked, the background of the Milestone Collection widget will blur."
"milestoneTrackerUseBgBlur","bool","0","If checked, the background of the Milestone Tracker widget will blur."
"milestoneInfoBoxUseBgBlur","bool","0","If checked, the background of the info widget will blur."
"titleUseBgBlur","bool","0","If checked, the background of the title widget will blur."
