"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"revealUnixTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_reveal_time"
"hideUnixTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_hide_time"
"defaultStartTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_start_time"
"defaultFinishTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_finish_time"
"seasonText","string","0",""
"battlepassFlav","asset","0",""
"seasonquestFlav","asset","0",""
"lobbyButtonImage","asset_noprecache","0",""
"lobbyDiamondImage","asset_noprecache","0",""
"lobbyBgRightImage","asset_noprecache","0",""
"seasonHeaderColor","float3","0",""
"seasonTitleColor","float3","0",""
"seasonCol","float3","0","Used for other elements such as death gradient, settings tints, etc"
"seasonNewColor","float3","0",""
"tabTextDefaultCol","float3","0",""
"tabBGFocusedCol","float3","0",""
"tabBarFocusedCol","float3","0",""
"tabTextFocusedCol","float3","0",""
"tabGlowFocusedCol","float3","0",""
"tabBGSelectedCol","float3","0",""
"tabBarSelectedCol","float3","0",""
"tabTextSelectedCol","float3","0",""
"subtabTextDefaultCol","float3","0",""
"subtabBGFocusedCol","float3","0",""
"subtabBarFocusedCol","float3","0",""
"subtabTextFocusedCol","float3","0",""
"subtabGlowFocusedCol","float3","0",""
"subtabBGSelectedCol","float3","0",""
"subtabBarSelectedCol","float3","0",""
"subtabTextSelectedCol","float3","0",""
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
