"fieldName","dataType","layoutIndex","helpText"
"dialogueBodyText","string","0","Main dialogue text to display for the message."
"dialogueSpeakerName","string","0","Speaker's name."
"dialogueSpeakerIcon","asset_noprecache","0",""
"dialoguePersistentVarNameToUnlock","string","0","If defined, checks this persistence var to unlock the message."
"dialoguePersistentVarNameHasSeen","string","0","If defined, sets this persistence var when seen."
"dialoguePersistentVarNameToHide","string","0","If defined, checks this persistence var to hide the message."
"dialogueDuration","float","0","If no dialogue audio events have been supplied, uses this number for the dialogue duration."
"dialoguePersistentVarNameToUnlockCount","int","0",""
"dialoguePersistentVarNameToHideCount","int","0",""
"dialogueAudioAliases","array_dynamic","0",""
"dialogueAutoPlay","bool","0","If checked, this will automatically play every 48 hours unless hidden by persistence.  Autoplay = false is usually for dialogue that must play immediately (e.g. for teases) and must be triggered separately through specialized script."
