"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"revealUnixTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_reveal_time"
"hideUnixTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_hide_time"
"defaultStartTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_start_time"
"defaultFinishTime","string","0","Formatted time string: YYYY-MM-DD HH:MM:SS +/-HH:00\nPlaylist override <ItemFlavor_GetGUIDString()>_finish_time"
"tabText","string","0",""
"grxOfferLocation","string","0",""
"itemGroup1HeaderText","string","0",""
"itemGroup1HeaderImage","asset_noprecache","0",""
"itemGroup1BGImage","asset_noprecache","0",""
"itemGroup2HeaderText","string","0",""
"itemGroup2HeaderImage","asset_noprecache","0",""
"itemGroup2BGImage","asset_noprecache","0",""
"itemBtnRegularBGImage","asset_noprecache","0",""
"itemBtnHighlightedBGImage","asset_noprecache","0",""
"headerIcon","asset_noprecache","0",""
"lobbyButtonImage","asset_noprecache","0",""
"associatedPackFlav","asset","0",""
"heirloomButtonImage","asset_noprecache","0",""
"prestigeButtonImage2","asset_noprecache","0",""
"prestigeButtonImage3","asset_noprecache","0",""
"completionSequenceName","string","0",""
"completionRewardPack","asset","0",""
"primaryCompletionRewardItem","asset","0",""
"heirloomUnlockDesc","string","0",""
"leftSideImage","asset_noprecache","0",""
"centerImage","asset_noprecache","0",""
"rightSideImage","asset_noprecache","0",""
"centerRuiAsset","string","0",""
"itemGroup1HeaderTextColor","float3","0",""
"itemGroup2HeaderTextColor","float3","0",""
"challenges","array_dynamic","0",""
"seasonTitleColor","float3","0",""
"seasonSubtitleColor","float3","0",""
"aboutPageSpecialTextColor","float3","0",""
"aboutTextStandard","array_dynamic","1",""
"aboutTextRestricted","array_dynamic","2",""
"imageUnselectedAlpha","float","0",""
"imageSelectedAlpha","float","0",""
"tabTextDefaultCol","float3","0",""
"tabBGFocusedCol","float3","0",""
"tabBarFocusedCol","float3","0",""
"tabTextFocusedCol","float3","0",""
"tabGlowFocusedCol","float3","0",""
"tabBGSelectedCol","float3","0",""
"tabBarSelectedCol","float3","0",""
"tabTextSelectedCol","float3","0",""
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"themeLobby","bool","0",""
"whatsNewTab","bool","0",""
"themedShopTab","bool","0",""
"isPrestigeSkin","bool","0",""
"awardHeirloomShards","bool","0",""
