"fieldName","dataType","layoutIndex","helpText"
"description","string","0",""
"statRef","string","0",""
"descriptionAlt","string","0",""
"statRefAlt","string","0",""
"progressAccrual","string","0",""
"matchRequirement","string","0",""
"goalVal","int","0",""
"goalValAlt","int","0",""
"characters","array_dynamic","0","Characters the challenge is for, or none for global challenge"
"rewards","array_dynamic","1",""
"convertSecondsToMinutesDisplay","bool","0","When tracking a challenge in seconds, this tells the game to display it in minutes."
