"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"grxMode","string","0","Specify what kind of item this is in the GRX backend (essentially MTX/EA Marketplace). Note that you can specify this without adding it to marketplace (it will be a warning but the game will run)."
"grxRef","string","0","The string ref used for communicating with EA Marketplace. DO NOT ADD A NEW STRING OR EDIT THIS STRING WITHOUT TALKING TO XANDER!!!"
"ownershipTarget","asset","0",""
"role","string","0","This decides how characters are grouped in the UI"
"setFile","asset","0",""
"tacticalAbility","asset","0",""
"ultimateAbility","asset","0",""
"loreFlav","asset","0",""
"menuLightAnimSeq","asset","0",""
"galleryPortrait","asset_noprecache","0",""
"galleryPortraitBackground","asset_noprecache","0",""
"characterSelectIcon","asset_noprecache","0",""
"characterLockIcon","asset_noprecache","0",""
"characterUnlockStoreIcon","asset_noprecache","0",""
"shippingStatus","string","0","Decides when and where this character should be display -- mostly for dev organizational purposes"
"skyDiveRui","string","0",""
"multipleOwnershipTargets","array_dynamic","0",""
"passives","array_dynamic","1","A list of passive abilities to automatically give the player on spawn."
"extraPassives","array_dynamic","2","A list of extra passive abilities to automatically give the player on spawn."
"menuSmokeSkinIndex","int","0",""
"menuBackgroundSkinIndex","int","0",""
"menuLightColorKey","float3","0",""
"menuLightSpecIntKey","float","0",""
"menuLightBrightnessKey","float","0",""
"menuLightDistanceKey","float","0",""
"menuLightConeKey","float","0",""
"menuLightInnerConeKey","float","0",""
"menuLightHalfBrightFracKey","float","0",""
"menuLightColorFill","float3","0",""
"menuLightSpecIntFill","float","0",""
"menuLightBrightnessFill","float","0",""
"menuLightDistanceFill","float","0",""
"menuLightConeFill","float","0",""
"menuLightInnerConeFill","float","0",""
"menuLightHalfBrightFracFill","float","0",""
"menuLightColorRimL","float3","0",""
"menuLightSpecIntRimL","float","0",""
"menuLightBrightnessRimL","float","0",""
"menuLightDistanceRimL","float","0",""
"menuLightConeRimL","float","0",""
"menuLightInnerConeRimL","float","0",""
"menuLightHalfBrightFracRimL","float","0",""
"menuLightColorRimR","float3","0",""
"menuLightSpecIntRimR","float","0",""
"menuLightBrightnessRimR","float","0",""
"menuLightDistanceRimR","float","0",""
"menuLightConeRimR","float","0",""
"menuLightInnerConeRimR","float","0",""
"menuLightHalfBrightFracRimR","float","0",""
"hudUltimateColor","float3","0",""
"hudUltimateColorHighlight","float3","0",""
"chromaColor0","float3","0","Color for Razer chroma products. Use chroma_imgui 1 in game to test colors on an actual keyboard."
"chromaColor1","float3","0","Color for Razer chroma products. Use chroma_imgui 1 in game to test colors on an actual keyboard."
"itemInspectOffset","float3","0","An offset to adjust character model positioning in the item inspect menu."
"galleryModelOffset","float3","0","An offset to adjust character model positioning in the lobby character gallery."
"thematicPreviewOffset","float3","0","An offset to adjust character model positioning in the thematic event skin preview."
"readyUpVoicelines","array_dynamic","3","A list of sound events to play when this a player readies-up as this character during character selection."
"characterMenuButtonIndex","int","0","Must be unique 0-29, or -1 for auto"
"menuZoomOffset","float3","0","This vector is an offset from the HEADSHOT attachment for the camera zoom focal point."
"damageScale","float","0"," "
"damageSlowdown_amount","float","0"," "
"damageSlowdown_duration","float","0"," "
"damageSlowdown_easeOut","float","0"," "
"damageSlowdown_debounce","float","0"," "
"skins","array_dynamic","4","A list of character skin item flavors that are valid for this character."
"executions","array_dynamic","5","A list of execution item flavors that are valid for this character."
"emotes","array_dynamic","6","A list of emote item flavors that are valid for this character."
"skydiveEmotes","array_dynamic","7","A list of skydive emote item flavors that are valid for this character."
"introQuips","array_dynamic","8","A list of intro quip item flavors that are valid for this character."
"killQuips","array_dynamic","9","A list of kill quip item flavors that are valid for this character."
"gcardStances","array_dynamic","10","A list of Banner stances item flavors that are valid for this character."
"gcardFrames","array_dynamic","11","A list of Banner frame item flavors that are valid for this character."
"gcardBadges","array_dynamic","12","A list of Banner badge item flavors that are specific to this character."
"gcardStatTrackers","array_dynamic","13","A list of Banner stat tracker item flavors that are valid for this character."
"emoteIcons","array_dynamic","14","A list of emote icon flavors that are valid for this character."
"nonCombatPets","array_dynamic","15","A list of non-combat pet flavors that are valid for this character."
"mythicBundles","array_dynamic","16",""
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"menuLightPbrFalloffKey","bool","0",""
"menuLightCastShadowsKey","bool","0",""
"menuLightPbrFalloffFill","bool","0",""
"menuLightCastShadowsFill","bool","0",""
"menuLightPbrFalloffRimL","bool","0",""
"menuLightCastShadowsRimL","bool","0",""
"menuLightPbrFalloffRimR","bool","0",""
"menuLightCastShadowsRimR","bool","0",""
"shouldTrackStatsInDev","bool","0","Determines whether the Server will track character-specific stats. MUST RUN pdef_autogen AFTER CHANGING!"
