"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"grxMode","string","0","Specify what kind of item this is in the GRX backend (essentially MTX/EA Marketplace). Note that you can specify this without adding it to marketplace (it will be a warning but the game will run)."
"grxRef","string","0","The string ref used for communicating with EA Marketplace. DO NOT ADD A NEW STRING OR EDIT THIS STRING WITHOUT TALKING TO XANDER!!!"
"ownershipTarget","asset","0",""
"bodyModel","asset_noprecache","0","3rd person character model"
"armsModel","asset_noprecache","0","1st person arms model"
"loadingBodyModel","asset","0","3rd person character model to show when loading"
"loadingArmsModel","asset","0","1st person arms model to show while loading"
"pak","asset_noprecache","0","The pak file to use for loading the real models."
"skinName","string","0","The skin from the model to apply when this skin is used."
"exclusiveFunc","string","0",""
"unlockFuncKey","string","0",""
"qualitySubTier","string","0",""
"customCharSelectIntroAnim","asset","0",""
"customCharSelectIdleAnim","asset","0",""
"customCharSelectReadyIntroAnim","asset","0",""
"customCharSelectReadyIdleAnim","asset","0",""
"menuCustomLightAnimSeq","asset","0",""
"customSkinMenuBlurb","string","0",""
"multipleOwnershipTargets","array_dynamic","0",""
"camoIndex","int","0","The index for which camo to apply from the camo_skins texture list asset when this skin is used.\nOnly has an effect if the skin contains materials with 'Custom Camo Detail Texture' enabled. A value of 0 means no camo will be applied."
"menuCustomLightColorKey","float3","0",""
"menuCustomLightSpecIntKey","float","0",""
"menuCustomLightBrightnessKey","float","0",""
"menuCustomLightDistanceKey","float","0",""
"menuCustomLightConeKey","float","0",""
"menuCustomLightInnerConeKey","float","0",""
"menuCustomLightHalfBrightFracKey","float","0",""
"menuCustomLightColorFill","float3","0",""
"menuCustomLightSpecIntFill","float","0",""
"menuCustomLightBrightnessFill","float","0",""
"menuCustomLightDistanceFill","float","0",""
"menuCustomLightConeFill","float","0",""
"menuCustomLightInnerConeFill","float","0",""
"menuCustomLightHalfBrightFracFill","float","0",""
"menuCustomLightColorRimL","float3","0",""
"menuCustomLightSpecIntRimL","float","0",""
"menuCustomLightBrightnessRimL","float","0",""
"menuCustomLightDistanceRimL","float","0",""
"menuCustomLightConeRimL","float","0",""
"menuCustomLightInnerConeRimL","float","0",""
"menuCustomLightHalfBrightFracRimL","float","0",""
"menuCustomLightColorRimR","float3","0",""
"menuCustomLightSpecIntRimR","float","0",""
"menuCustomLightBrightnessRimR","float","0",""
"menuCustomLightDistanceRimR","float","0",""
"menuCustomLightConeRimR","float","0",""
"menuCustomLightInnerConeRimR","float","0",""
"menuCustomLightHalfBrightFracRimR","float","0",""
"charSelectLabelColorOverride","float3","0",""
"previewOffset","float3","0","An offset to adjust model positioning in the item previews."
"previewRotation","float3","0",""
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"exclusive","bool","0","If checked this will should be exclusive"
"shouldHideIfLocked","bool","0","If checked this badge will not appear in menus while locked"
"hasCustomCharSelectLighting","bool","0",""
"menuCustomLightPbrFalloffKey","bool","0",""
"menuCustomLightCastShadowsKey","bool","0",""
"menuCustomLightPbrFalloffFill","bool","0",""
"menuCustomLightCastShadowsFill","bool","0",""
"menuCustomLightPbrFalloffRimL","bool","0",""
"menuCustomLightCastShadowsRimL","bool","0",""
"menuCustomLightPbrFalloffRimR","bool","0",""
"menuCustomLightCastShadowsRimR","bool","0",""
