"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"clubLogoElementImage","asset_noprecache","0",""
"clubLogoElementSecondaryColorMask","asset_noprecache","0",""
"elementCategory","string","0",""
"clubLogoElementFrameMask","asset_noprecache","0","Used to clip a logo's emblem and background to ensure assets don't leak out from under the frame."
"elementCenterPointAdjustment","float","0","Overrides the vertical 'center line' of the frame. This affects where the emblem and background are placed relative to the frame. -1.0 is the bottom of the image, 0.0 is the center, 1.0 is the top."
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"clubLogoElementEnabled","bool","0","If this is selected, this element will be available in the logo editor."
