"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"entitlementType","string","0",""
"twitchRef","string","0",""
"twitchRef","string","0",""
"enum","string","0",""
"pc","string","0",""
"ps4","string","0",""
"xb1","string","0",""
"switch","string","0",""
"pc_offer","string","0",""
"steam_offer","string","0",""
"xb1_offer","string","0",""
"menuTitleText","string","0",""
"menuDescText","string","0",""
"menuImageName","string","0","Can be overriden by setting the playlist var <THIS_VALUE>_image_override"
"menuPersistenceVarName","string","0","A persistent data variable is used to track when the menu has been shown already. The variable name can be specified here, but it is best to leave this blank so the name is determined automatically. In either case, the in-game autogen process must be run to create the variable in persistent data."
"list","array_dynamic","0","A list of item flavors which script can iterate. If script refers to this list asset, all of the enable items in this array will be baked and loaded."
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"isMenuEnabled","bool","0",""
