"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"grxMode","string","0","Specify what kind of item this is in the GRX backend (essentially MTX/EA Marketplace). Note that you can specify this without adding it to marketplace (it will be a warning but the game will run)."
"grxRef","string","0","The string ref used for communicating with EA Marketplace. DO NOT ADD A NEW STRING OR EDIT THIS STRING WITHOUT TALKING TO XANDER!!!"
"ownershipTarget","asset","0",""
"exclusiveFunc","string","0",""
"unlockFuncKey","string","0",""
"fgImageAsset","asset_noprecache","0",""
"bgImageAsset","asset_noprecache","0",""
"fgRuiAsset","string","0",""
"bgRuiAsset","string","0",""
"colorCorrectionRawPath","string","0",""
"customSkinMenuBlurb","string","0",""
"multipleOwnershipTargets","array_dynamic","0",""
"fgImageBlend","float","0",""
"fgImagePremul","float","0",""
"keyCol_0","float3","0","Used for the player's name."
"keyCol_1","float3","0","Unused"
"keyCol_2","float3","0","Unused"
"exposure","float","0",""
"light0_col","float3","0",""
"light0_specintensity","float","0",""
"light1_col","float3","0",""
"light1_specintensity","float","0",""
"light2_col","float3","0",""
"light2_specintensity","float","0",""
"light3_col","float3","0",""
"light3_specintensity","float","0",""
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"isSharedBetweenCharacters","bool","0","If this frame is shared across multiple characters, you MUST check this box"
"exclusive","bool","0","If checked this will should be exclusive"
"shouldHideIfLocked","bool","0","If checked this badge will not appear in menus while locked"
"hasOwnRui","bool","0",""
"isArtFullFrame","bool","0","Foreground and background images fill the full frame"
