"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"entityClassname","string","0",""
"loreFlav","asset","0",""
"category","asset","0",""
"statsCategory","string","0",""
"childClassnames","array_dynamic","0","A list of child weapon classes. Used to Precache child classes."
"armoryScale","float","0",""
"lootCeremonyScale","float","0",""
"battlePassScale","float","0",""
"itemInspectScale","float","0",""
"loadoutOverviewOffset","float3","0","An offset to adjust model positioning in the item loadout overview menu."
"loadoutOverviewRotation","float3","0",""
"loadoutSkinsOffset","float3","0","An offset to adjust model positioning in the item loadout overview menu."
"skins","array_dynamic","1","A list of weapon skin item flavors that are valid for this weapon."
"charms","array_dynamic","2","A list of weapon charm item flavors that are valid for this weapon."
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
"shippingWeapon","bool","0","The item is considered shipped and will be accessible whenever possible"
