"fieldName","dataType","layoutIndex","helpText"
"assetName","string","0",""
"itemType","string","0",""
"parentItemFlavor","asset","0",""
"settingsAssetID","string","0","The unique Settings Asset ID used by ItemFlavors. If you want to reference an ItemFlavor via playlist, just copy and paste the whole SAID00000000123 string."
"__featureFlag","string","0",""
"devDescription","string","0",""
"localizationKey_NAME","string","0",""
"localizationKey_NAME_SHORT","string","0",""
"localizationKey_DESCRIPTION_LONG","string","0",""
"localizationKey_DESCRIPTION_SHORT","string","0",""
"quality","string","0",""
"icon","asset_noprecache","0",""
"tagIcon","asset_noprecache","0",""
"grxMode","string","0",""
"type","string","0",""
"legend_real_name","string","0",""
"legend_alias","string","0",""
"legend_age","string","0",""
"legend_home_world","string","0",""
"bio","array_dynamic","0","A list of strings that in order create the Bio"
"isNetworked","bool","0",""
"isTheFavoriteSentinel","bool","0","If this is selected, it will tell the game to pull a seclection from the 'Favorites' list"
